ID,이름(영),슬롯,DEF,카드슬롯,필요레벨,무게,구매가,판매가,정련,사용직업,효과(요약)
2336,Thief Clothes,갑옷,6,1,0,10,74000,0,○,"어쌔신, 닌자, 로그, 도둑",AGI+1
2338,Wedding Dress,갑옷,0,0,0,50,43000,0,○,All,MDEF+15
2339,Pantie,갑옷,4,0,0,10,1000,0,○,전직업,
2352,Tattered Novice Ninja Suit,갑옷,4,0,0,0.1,1,0,×,"노비스, 슈퍼노비스",
2368,Golden Armor,갑옷,4,0,0,200,20,0,×,전직업,MDEF+4
2369,Freyja Overcoat,갑옷,12,0,0,50,0,0,×,All,"bonus bUnbreakableArmor;
bonus2 bSubRace,RC_DemiHuman,10;
bonus2 bSubRace,RC_Pla"
2370,Used Mage Coat,갑옷,15,0,0,0,0,0,×,전직업,"MaxHP+300, MaxSP+30"
2371,Pantie,갑옷,4,1,0,10,1000,0,○,전직업,
2384,Spiritual Tunic,갑옷,10,0,0,0,20,0,×,전직업,MaxHP+800
2385,Recuperative Armor,갑옷,12,0,0,0,20,0,×,전직업,"bonus bNoRegen,1;
bonus bNoRegen,2;
bonus bHPGainValue,60;
bonus bSPGainValue,6;"
2392,Old Green Pantie,갑옷,10,0,0,0,0,0,×,전직업,"STR+2, VIT+2, MDEF+1, MaxHP+200"
2393,Novice Adventurer's Suit,갑옷,8,1,0,0,0,0,×,전직업,
2396,Glorious Mass-Production Suit,갑옷,0,0,0,0,20,0,○,All,MaxHP+500
2397,Incredible Event Resignation Coat,갑옷,2,0,0,90,10,0,○,All,
2399,Dragon Vest,갑옷,3,1,0,50,20,0,○,All,MDEF+3
15001,Odin's Blessing,갑옷,10,0,0,0,0,0,×,All,
2357,Valkyrian Armor,갑옷,6,1,1,280,0,0,○,All,전스탯+1
2358,Angel's Dress,갑옷,5,0,1,100,20,0,×,전직업,LUK+4
2340,Novice Breastplate,갑옷,4,1,10,50,89000,0,○,"노비스, 슈퍼노비스",
2311,Mink Coat,갑옷,6,1,30,230,20,0,○,All,
2316,Full Plate,갑옷,10,0,40,450,80000,0,○,"크루세이더, 기사, 소드맨",
2317,Full Plate,갑옷,10,1,40,450,80000,0,○,"크루세이더, 기사, 소드맨",
2355,Angelic Protection,갑옷,4,1,40,60,10000,0,○,"노비스, 슈퍼노비스",MDEF+20
2330,Tights,갑옷,6,0,45,50,71000,0,○,"궁수, BardDancer, 헌터",DEX+1
2331,Tights,갑옷,6,1,45,50,71000,0,○,"궁수, BardDancer, 헌터",DEX+1
2344,Lucius's Fierce Armor of Volcano,갑옷,4,0,45,220,136000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus bDefEle,Ele_Fire;
"
2345,Lucius's Fierce Armor of Volcano,갑옷,4,1,45,220,136000,0,○,All,"bonus bDefEle,Ele_Fire;
"
2346,Saphien's Armor of Ocean,갑옷,4,0,45,220,136000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus bDefEle,Ele_Water;
"
2347,Saphien's Armor of Ocean,갑옷,4,1,45,220,136000,0,○,All,"bonus bDefEle,Ele_Water;
"
2348,Aebecee's Raging Typhoon Armor,갑옷,4,0,45,220,136000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus bDefEle,Ele_Wind;
"
2349,Aebecee's Raging Typhoon Armor,갑옷,4,1,45,220,136000,0,○,All,"bonus bDefEle,Ele_Wind;
"
2350,Claytos Cracking Earth Armor,갑옷,4,0,45,220,136000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus bDefEle,Ele_Earth;
"
2351,Claytos Cracking Earth Armor,갑옷,4,1,45,220,136000,0,○,All,"bonus bDefEle,Ele_Earth;
"
2334,Mage Coat,갑옷,5,0,50,60,20,0,○,"Mage, 세이지, SoulLinker, 위저드","INT+1, MDEF+5"
2337,Ninja Suit,갑옷,7,0,50,150,20,0,○,"어쌔신, 닌자, 로그, 도둑","AGI+1, MDEF+3"
2359,Ninja Suit,갑옷,7,1,50,150,20,0,○,"어쌔신, 닌자, 로그, 도둑","AGI+1, MDEF+3"
2367,Sniping Suit,갑옷,5,1,50,75,20,0,○,헌터,"MDEF+5, CRIT+6"
2372,Mage Coat,갑옷,5,1,50,60,20,0,○,"Mage, 세이지, SoulLinker, 위저드","INT+1, MDEF+5"
2398,Sniping Suit,갑옷,5,1,50,75,20,0,○,헌터,"MDEF+5, CRIT+6"
2354,Goibne's Armor,갑옷,7,0,54,350,50000,0,○,All,VIT+2
2364,Meteo Plate Armor,갑옷,10,1,55,300,20,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus2 bResEff,Eff_Stun,3000;
bonus2 bResEff,Eff_Freeze,3000;
"
2365,Orleans's Gown,갑옷,2,1,55,30,20,0,○,All,"bonus bCastrate,15;
bonus bNoCastCancel;
"
2366,Divine Cloth,갑옷,6,1,55,150,20,0,○,All,"bonus2 bResEff,Eff_Curse,500;
bonus2 bResEff,Eff_Silence,500;
bonus2 bResEff,Eff"
2374,Diabolus Robe,갑옷,6,1,55,30,20,0,○,"복사, 궁수, BardDancer, 헌터, Mage, 몽크, 프리스트, 세이지, 위저드","MDEF+5, MaxSP+150"
2375,Diabolus Armor,갑옷,7,1,55,60,20,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑","STR+2, DEX+1, MaxHP+150"
2319,Glittering Jacket,갑옷,7,1,60,250,20,0,○,All,MDEF+5
2327,Holy Robe,갑옷,7,0,60,170,20,0,○,"복사, 몽크, 프리스트",MDEF+5
2373,Holy Robe,갑옷,7,1,60,170,20,0,○,"복사, 몽크, 프리스트",MDEF+5
2395,Glorious Popularized Suit,갑옷,0,0,61,0,20,0,○,All,MaxHP+600
2353,Odin's Blessing,갑옷,6,1,65,250,30000,0,○,All,
2318,Lord's Clothes,갑옷,8,1,70,250,20,0,○,"알케미스트, 블랙스미스, 상인","INT+1, MDEF+5"
2341,Legion Plate Armor,갑옷,11,0,70,550,94000,0,○,크루세이더,
2342,Legion Plate Armor,갑옷,11,1,70,550,102500,0,○,크루세이더,
2356,Blessed Holy Robe,갑옷,5,1,70,250,20,0,○,"몽크, 프리스트",MDEF+5
2386,Chameleon Armor,갑옷,5,0,70,170,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드","DEF+3, MDEF+5"
2387,Sprint Mail,갑옷,3,1,70,100,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드",VIT+1
2388,Kandura,갑옷,4,1,70,30,20,0,○,어쌔신,"AGI+1, FLEE+5, ASPD+2%"
2389,Armor of Naga,갑옷,5,1,70,100,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드",MDEF+2
2343,Robe of Cast,갑옷,5,0,75,110,124800,0,○,"세이지, SoulLinker, 위저드",MDEF+4
2360,Robe of Cast,갑옷,5,1,75,110,124800,0,○,"세이지, SoulLinker, 위저드",MDEF+4
2390,Improved Tights,갑옷,6,1,75,40,20,0,○,"궁수, BardDancer, 헌터",MDEF+2
2376,Assaulter Plate,갑옷,7,1,80,0,10,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, StarGladiator, 소드맨, Taekwon","MDEF+2, MaxHP+150"
2377,Elite Engineer Armor,갑옷,7,1,80,0,10,0,○,"알케미스트, 블랙스미스, 상인","MDEF+2, MaxHP+150"
2378,Assassin Robe,갑옷,7,1,80,0,10,0,○,"어쌔신, 닌자, 로그, 도둑","MDEF+2, MaxHP+150"
2379,Warlock's Battle Robe,갑옷,3,1,80,0,10,0,○,"Mage, 세이지, SoulLinker, 위저드","MDEF+2, MaxHP+150"
2380,Medic's Robe,갑옷,3,1,80,0,10,0,○,"복사, 몽크, 프리스트","MDEF+2, MaxHP+150"
2381,Elite Archer Suit,갑옷,3,1,80,0,10,0,○,"궁수, BardDancer, 헌터","MDEF+2, MaxHP+150"
2382,Elite Shooter Suit,갑옷,3,1,80,0,10,0,○,건슬링거,"MDEF+2, MaxHP+150"
2394,Glorious Suit,갑옷,0,0,81,0,20,0,○,All,"bonus bMaxHPRate,20;
bonus2 bSubRace,RC_DemiHuman,7;
bonus2 bSubRace,RC_Player_H"
2391,Life Link,갑옷,9,1,82,350,20,0,○,"크루세이더, 기사, 소드맨","VIT+2, MDEF+5"
15000,Bone Plate,갑옷,7,1,85,100,20,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑","STR+1, MDEF+3"
2383,Brynhild,갑옷,10,0,94,40,20,0,×,전직업,"MDEF+10, MaxHP+20, MaxSP+5"
2101,Guard,방패,3,0,0,30,500,0,○,전직업,
2102,Guard,방패,3,1,0,30,500,0,○,전직업,
2103,Buckler,방패,4,0,0,60,14000,0,○,"복사, 알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 로그, 소드맨, 도둑",
2104,Buckler,방패,4,1,0,60,14000,0,○,"복사, 알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 로그, 소드맨, 도둑",
2105,Shield,방패,6,0,0,130,56000,0,○,"크루세이더, 기사, 소드맨",
2106,Shield,방패,6,1,0,130,56000,0,○,"크루세이더, 기사, 소드맨",
2107,Mirror Shield,방패,4,0,0,100,60000,0,○,"크루세이더, 기사, StarGladiator, 소드맨",MDEF+5
2108,Mirror Shield,방패,4,1,0,100,60000,0,○,"크루세이더, 기사, StarGladiator, 소드맨",MDEF+5
2109,Memory Book,방패,3,0,0,100,20,0,○,"Mage, 세이지, SoulLinker, 위저드","INT+1, MDEF+2"
2112,Novice Guard,방패,3,0,0,0.1,1,0,×,"노비스, 슈퍼노비스",
2121,Memory Book,방패,3,1,0,100,20,0,○,"Mage, 세이지, SoulLinker, 위저드","INT+1, MDEF+2"
2127,Secular Mission,방패,10,0,0,0,20,0,×,전직업,"bonus2 bSubClass,Class_All,25;
"
2132,Shell Of Resistance,방패,9,0,0,0,20,0,×,전직업,전스탯+1
2136,Cracked Buckler,방패,5,0,0,0,0,0,×,전직업,"AGI+2, MDEF+1"
2199,Ahura Mazdah,방패,100,0,1,1,1,0,×,전직업,"MDEF+99, 전스탯+50"
2116,Angelic Guard,방패,3,1,20,40,10000,0,○,"노비스, 슈퍼노비스","bonus2 bSubRace,RC_Demon,5;
"
2117,Arm Guard,방패,5,0,20,15,10000,0,○,닌자,
2118,Arm Guard,방패,5,1,20,15,10000,0,○,닌자,
2113,Novice Shield,방패,3,1,40,100,5000,0,○,"노비스, 슈퍼노비스","bonus2 bSubEle,Ele_Water,20;
bonus2 bSubEle,Ele_Earth,20;
bonus2 bSubEle,Ele_Fir"
2119,Advanced Arm Guard,방패,4,0,50,15,40000,0,○,닌자,MDEF+5
2120,Advanced Arm Guard,방패,4,1,50,15,40000,0,○,닌자,MDEF+5
2129,Exorcism Bible,방패,5,0,50,60,20,0,○,"몽크, 프리스트",INT+1
2133,Tournament Shield,방패,5,1,50,100,20,0,○,"크루세이더, 기사, 소드맨",ASPD+-5%
2123,Orleans's Server,방패,5,1,55,100,20,0,○,All,MDEF+2
2124,Thorny Buckler,방패,5,1,55,100,20,0,○,All,MDEF+2
2114,Stone Buckler,방패,3,1,65,150,30000,0,○,All,"bonus2 bSubSize,Size_Large,5;
"
2115,Valkyrja's Shield,방패,3,1,65,50,30000,0,○,All,MDEF+5
2138,Bradium Shield,방패,5,1,65,180,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드","AGI+-1, MaxHP+500"
2110,Holy Guard,방패,5,0,68,140,85000,0,×,크루세이더,"VIT+2, MDEF+2"
2122,Platinum Shield,방패,5,0,68,120,20,0,○,All,MDEF+5
2131,Magic Bible Vol1,방패,2,1,70,100,20,0,○,"Mage, 세이지, SoulLinker, 위저드","INT+2, MDEF+3"
2134,Shield of Naga,방패,3,1,70,50,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드",MDEF+3
2135,Shadow Guard,방패,4,1,70,80,20,0,○,로그,
2125,Strong Shield,방패,4,1,75,250,20,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑","bonus bNoKnockback;
bonus2 bSubEle,Ele_Neutral,-20;
bonus2 bSubEle,Ele_Fire,-20;"
2126,Guyak Shield,방패,3,0,75,70,20,0,○,All,MDEF+3
2130,Cross Shield,방패,6,1,80,200,20,0,○,크루세이더,STR+1
2111,Sacred Mission,방패,5,0,83,160,128000,0,○,크루세이더,"VIT+3, INT+2, MDEF+3"
2128,Sacred Mission,방패,5,1,83,160,128000,0,○,크루세이더,"VIT+3, INT+2, MDEF+3"
2137,Neo Valkyrja's Shield,방패,5,0,95,0,0,0,×,All,MDEF+5
2139,Flame Thrower,방패,60,0,99,200,20000,0,×,블랙스미스,
2501,Hood,망토,1,0,0,20,1000,0,○,전직업,
2502,Hood,망토,1,1,0,20,1000,0,○,전직업,
2503,Muffler,망토,2,0,0,40,5000,0,○,All,
2504,Muffler,망토,2,1,0,40,5000,0,○,All,
2505,Manteau,망토,4,0,0,60,32000,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, StarGladiator, 소드맨, Taekwon, 도둑",
2506,Manteau,망토,4,1,0,60,32000,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, StarGladiator, 소드맨, Taekwon, 도둑",
2508,Ragamuffin Manteau,망토,1,0,0,50,56000,0,○,All,MDEF+10
2510,Somber Novice Hood,망토,2,0,0,0.1,1,0,×,"노비스, 슈퍼노비스","bonus2 bSubEle,Ele_Neutral,20;
"
2533,Freyja Cape,망토,10,0,0,20,0,0,×,All,"bonus2 bSubRace,RC_DemiHuman,15;
bonus2 bSubRace,RC_Player_Human,15;
"
2534,Ruffler,망토,10,0,0,0,20,0,×,전직업,FLEE+17
2535,Cloak Of Survival,망토,5,0,0,0,1,0,×,"Mage, 세이지, SoulLinker, 위저드","VIT+10, MDEF+10"
2537,Diabolus Manteau,망토,5,1,0,25,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드",MaxHP+100
2543,Sylphid Manteau,망토,9,0,0,0,20,0,×,전직업,FLEE+13
2544,Leather of Tendrilion,망토,3,1,0,50,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드","bonus2 bSubEle,Ele_Water,5;
bonus2 bSubEle,Ele_Earth,5;
bonus2 bSubRace,RC_Plant"
2546,Beach Manteau,망토,0,1,0,60,20,0,○,전직업,"STR+1, INT+1"
2547,Cheap Undershirt,망토,8,0,0,0,0,0,○,전직업,"DEX+2, MDEF+1, FLEE+10"
2550,Fisher's Muffler,망토,0,0,0,20,20,0,○,전직업,
2553,Dragon Manteau,망토,5,1,0,100,20,0,○,All,"AGI+1, MDEF+5"
2522,Undershirt,망토,2,0,1,15,20000,0,○,전직업,MDEF+1
2523,Undershirt,망토,2,1,1,15,20000,0,○,전직업,MDEF+1
2524,Valkyrian Manteau,망토,3,1,1,50,0,0,○,All,"bonus bUnbreakableGarment;
if (BaseClass == Job_Mage || BaseClass == Job_Archer "
2521,Angelic Cardigan,망토,2,1,20,40,10000,0,○,"노비스, 슈퍼노비스","bonus bHPrecovRate,5;
"
2518,Morpheus's Shawl,망토,3,0,33,60,30000,0,○,All,MDEF+3
2507,Ancient Cape,망토,2,0,40,60,82000,0,○,All,AGI+1
2512,Novice Manteau,망토,2,1,40,50,50000,0,○,"노비스, 슈퍼노비스","bonus2 bSubEle,Ele_Neutral,10;
"
2525,Ancient Cape,망토,2,1,40,60,82000,0,○,All,AGI+1
2527,Dragon Breath,망토,4,1,48,60,20,0,○,All,"bonus2 bSubRace,RC_Dragon,15;
"
2526,Coat of Dragon Scale,망토,4,0,50,1,20,0,○,전직업,
2520,Goibne's Spaulders,망토,3,0,54,70,30000,0,○,All,"VIT+1, MDEF+2"
2528,Wool Scarf,망토,3,1,55,50,20,0,○,All,MDEF+4
2529,Rider Insignia,망토,4,0,55,50,20,0,○,All,AGI+2
2530,Rider Insignia,망토,4,1,55,50,20,0,○,All,AGI+2
2551,Crest of the Rider,망토,4,1,55,50,20,0,○,All,AGI+2
2536,Skin of Ventus,망토,2,1,60,25,20,0,○,All,"MDEF+2, FLEE+10, MaxHP+200"
2519,Morrigane's Manteau,망토,3,0,61,60,30000,0,○,All,LUK+2
2516,Falcon Muffler,망토,3,0,65,40,30000,0,○,All,FLEE+15
2517,Vali's Manteau,망토,4,0,65,60,30000,0,○,All,"bonus2 bSubEle,Ele_Neutral,15;
"
2531,Ulfhedinn,망토,3,1,70,70,20,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑","bonus3 bAutoSpellWhenHit,""NPC_STONESKIN"",6,20;
"
2532,Mithril Magic Cape,망토,3,1,70,40,20,0,○,"복사, 궁수, BardDancer, 헌터, Mage, 몽크, 프리스트, 세이지, 위저드",MDEF+3
2542,Flame Manteau of Naght Sieger,망토,4,1,70,50,20,0,○,All,MDEF+2
2545,Musika,망토,2,1,70,50,20,0,○,"몽크, 프리스트",MDEF+3
2552,Mithril Magic Manteau,망토,3,1,70,40,20,0,○,"복사, 궁수, BardDancer, 헌터, Mage, 몽크, 프리스트, 세이지, 위저드",MDEF+3
2509,Survivor's Manteau,망토,0,0,75,55,20000,0,○,"Mage, 세이지, SoulLinker, 위저드","VIT+10, MDEF+5"
2511,Skeleton Manteau,망토,1,0,75,70,5000,0,○,All,"STR+2, AGI+-4, VIT+-3, INT+-3, DEX+2, LUK+2"
2513,Heavenly Maiden Robe,망토,3,1,80,50,20,0,○,All,
2514,Pauldron,망토,5,1,80,80,20,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑",
2538,Captain's Manteau,망토,4,1,80,0,10,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 닌자, 로그, StarGladiator, 소드맨, Taekwon, 도둑","MDEF+1, MaxHP+50"
2539,Commander's Manteau,망토,3,1,80,0,10,0,○,"복사, 궁수, BardDancer, 헌터, Mage, 몽크, 프리스트, 세이지, SoulLinker, 위저드","MDEF+1, MaxHP+50"
2540,Sheriff's Manteau,망토,3,1,80,0,10,0,○,건슬링거,"MDEF+1, MaxHP+50"
2549,Glorious Muffler,망토,0,0,81,0,20,0,○,All,"bonus bMaxHPRate,5;
bonus2 bSubRace,RC_DemiHuman,5;
bonus2 bSubRace,RC_Player_Hu"
2515,Eagle Wing,망토,1,1,85,30,20000,0,○,"Mage, 세이지, SoulLinker, 위저드",
2554,Nydhorgg's Shadow Garb,망토,5,1,90,40,20,0,○,All,MDEF+3
2541,Asprika,망토,5,0,94,40,20,0,×,전직업,"MDEF+5, FLEE+30"
2548,Neo Muffler,망토,5,0,95,0,0,0,×,All,"bonus2 bSubRace,RC_DemiHuman,10;
bonus2 bSubRace,RC_Player_Human,10;
bonus bMaxH"
2401,Sandals,신발,1,0,0,20,400,0,○,전직업,
2402,Sandals,신발,1,1,0,20,400,0,○,전직업,
2403,Shoes,신발,2,0,0,40,3500,0,○,All,
2404,Shoes,신발,2,1,0,40,3500,0,○,All,
2405,Boots,신발,4,0,0,60,18000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 건슬링거, 헌터, 기사, 상인, 로그, StarGladiator, 소드맨, Taekwon, 도둑",
2406,Boots,신발,4,1,0,60,18000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 건슬링거, 헌터, 기사, 상인, 로그, StarGladiator, 소드맨, Taekwon, 도둑",
2407,Crystal Pumps,신발,0,0,0,10,20,0,○,All,"LUK+5, MDEF+10"
2408,Shackles,신발,3,0,0,300,5000,0,○,전직업,
2409,High Heels,신발,2,0,0,60,8500,0,○,All,MDEF+5
2414,Novice Slippers,신발,2,0,0,0.1,1,0,×,"노비스, 슈퍼노비스",
2427,Golden Shoes,신발,4,0,0,30,20,0,×,전직업,MDEF+4
2428,Freyja Boots,신발,10,0,0,30,0,0,×,All,"bonus2 bSubRace,RC_DemiHuman,5;
bonus2 bSubRace,RC_Player_Human,5;
"
2429,Iron Boots,신발,5,0,0,150,0,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 상인, 로그, 소드맨, 도둑",
2430,Iron Boots,신발,5,0,0,80,0,0,○,전직업,
2431,Valley Shoes,신발,10,0,0,0,20,0,×,전직업,"bonus bMaxHPRate,7;
bonus bMaxSPRate,7;
"
2432,High Heels,신발,2,1,0,60,8500,0,○,All,MDEF+5
2433,Diabolus Boots,신발,4,1,0,25,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드","bonus bMaxHP,(BaseLevel*10);
"
2439,Refresh Shoes,신발,9,0,0,0,20,0,×,전직업,"bonus bMaxHPRate,17;
bonus bMaxSPRate,8;
bonus2 bHPRegenRate,20,10000;
bonus2 bS"
2441,Beach Sandals,신발,0,0,0,20,20,0,○,전직업,"STR+1, AGI+1, INT+1"
2442,Red Stocking Boots,신발,7,0,0,0,0,0,×,전직업,"LUK+2, MDEF+1"
2443,Fisher's Boots,신발,0,0,0,25,10,0,×,전직업,
2446,Glorious Mass-Production Shoes,신발,0,0,0,0,20,0,○,All,"bonus bMaxHPRate,5;
"
2447,Army Boots,신발,5,0,0,100,0,0,○,All,
2448,Air Boss,신발,2,0,0,50,0,0,○,전직업,AGI+1
2421,Valkyrian Shoes,신발,4,1,1,50,0,0,○,All,"bonus bUnbreakableShoes;
if (BaseClass == Job_Mage || BaseClass == Job_Archer ||"
2420,Angel's Reincarnation,신발,2,1,25,30,10000,0,○,"노비스, 슈퍼노비스",MaxHP+100
2413,Safety Boots,신발,6,0,30,35,34000,0,×,"크루세이더, 기사, 소드맨",
2415,Bunny Slipper,신발,3,1,30,30,34000,0,○,All,"LUK+3, MDEF+3"
2416,Novice Shoes,신발,2,1,40,50,35000,0,○,"노비스, 슈퍼노비스","bonus bMaxHPrate,5;
"
2422,High Fashion Sandals,신발,2,1,40,20,24000,0,○,"복사, Mage, 몽크, 프리스트, 세이지, SoulLinker, 위저드",MDEF+10
2419,Goibne's Greaves,신발,4,0,54,70,30000,0,○,All,MDEF+3
2424,Tidal Shoes,신발,3,1,55,30,20,0,○,All,"bonus2 bSubEle,Ele_Water,5;
"
2425,Black Leather Boots,신발,4,0,55,50,20,0,○,All,AGI+1
2434,Black Leather Boots,신발,4,1,55,50,20,0,○,All,AGI+1
2450,Vital Tree Shoes,신발,4,0,60,50,20,0,○,All,"VIT+2, MDEF+3"
2445,Glorious Popularized Shoes,신발,0,0,61,0,20,0,○,All,"bonus bMaxHPRate,5;
bonus bMaxSPRate,5;
"
2411,Greaves,신발,5,0,65,75,48000,0,○,"크루세이더, 기사",
2412,Greaves,신발,5,1,65,75,54000,0,○,"크루세이더, 기사",
2417,Fricco's Shoes,신발,3,0,65,50,30000,0,○,All,AGI+2
2418,Vidar's Boots,신발,4,0,65,65,30000,0,○,All,"bonus bMaxHPrate,9;
bonus bMaxSPrate,9;
"
2440,Sprint Shoes,신발,2,1,70,30,20,0,○,"알케미스트, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, 몽크, 프리스트, 로그, 세이지, SoulLinker, StarGladiator, 위저드",AGI+1
2426,Shadow Walk,신발,0,0,75,200,20,0,○,All,MDEF+10
2435,Battle Greaves,신발,4,1,80,0,10,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 닌자, 로그, StarGladiator, 소드맨, Taekwon, 도둑","MDEF+1, MaxHP+100"
