ID,AegisName,이름(영),레벨,HP,BaseEXP,JobEXP,MvpEXP,ATK(min),ATK(max),DEF,MDEF,AGI,INT,DEX,크기,종족,속성,MVP드롭1,MVP확률1,MVP드롭2,MVP확률2,MVP드롭3,MVP확률3,일반드롭(요약)
1630,BACSOJIN_,White Lady,85,253221,45250,16445,22625,1868,6124,20,55,65,112,152,대형,인간형,바람,Yggdrasilberry,55.00%,Celestial_Robe,20.00%,Old_Violet_Box,50.00%,Long_Hair(55.00%) / Old_Blue_Box(50.00%) / Tantanmen(0.50%) / Limpid_Celestial_Robe(30.00%) / Soft_Silk_Cloth(10.00%) / Red_Silk_Seal(1.00%) / Tiara(0.10%) / Bacsojin_Card(0.01%)
1885,GOPINICH,Gopinich,85,299321,45250,16445,22625,1868,6124,20,42,65,103,152,대형,동물,땅,Yggdrasilberry,55.00%,Old_Violet_Box,50.00%,Old_Violet_Box,50.00%,Old_Violet_Box(40.00%) / Ring_(2.00%) / Int_Dish10(10.00%) / Ixion_Wing(1.00%) / Pole_Axe(0.05%) / Treasure_Box(50.00%) / Loard_Circlet(0.01%)
1980,KUBLIN,Kublin,85,1176000,100000,100000,50000,1180,1400,20,10,106,40,72,중형,인간형,땅,Pickaxe,100.00%,,,,,Iron(2.70%) / Scell(90.00%) / Oridecon_Stone(0.43%) / Goblini_Mask(0.03%) / Red_Herb(18.00%)
1623,RSX_0806,RSX-0806,86,560733,31010,32011,15505,2740,5620,39,41,51,25,93,대형,무형,무속성,Yggdrasilberry,55.00%,Dark_Blindfold,35.00%,Crystal_Jewel__,55.00%,Wheel(60.00%) / House_Auger(0.10%) / House_Auger_(0.01%) / Old_Violet_Box(10.00%) / Headlamp(50.00%) / Counter_Dagger(0.50%) / Spanner(0.20%) / Rsx_0806_Card(0.01%)
1511,AMON_RA,Amon Ra,88,1214138,87264,35891,43632,1647,2576,26,52,0,124,74,대형,인간형,땅,Yggdrasilberry,55.00%,Seed_Of_Yggdrasil,35.00%,Crystal_Jewel__,55.00%,Spinx_Helm(1.50%) / Safety_Ring(0.50%) / Rojerta_Piece(77.60%) / Elunium(38.80%) / Old_Card_Album(4.00%) / Tablet(0.10%) / Yggdrasilberry(30.00%) / Amon_Ra_Card(0.01%)
1688,LADY_TANEE,Lady Tanee,89,493000,64995,43222,32497,450,2170,20,44,125,78,210,대형,식물,바람,Old_Violet_Box,55.00%,Dex_Dish10,50.00%,Crystal_Jewel__,20.00%,Agi_Dish10(50.00%) / Tropical_Banana(40.00%) / Fantastic_Cooking_Kits(10.00%) / Banana_Hat(10.00%) / Elunium(50.00%) / Old_Violet_Box(20.00%) / Kakkung_(60.00%) / Lady_Tanee_Card(0.01%)
1768,GLOOMUNDERNIGHT,Gloom Under Night,89,2298000,962175,276445,481087,5880,9516,10,20,115,78,111,대형,무형,유령,Yggdrasilberry,55.00%,Old_Violet_Box,50.00%,Old_Violet_Box,50.00%,Will_Of_Darkness_(70.00%) / Blade_Lost_In_Darkness(40.00%) / Old_Hilt(20.00%) / Old_Card_Album(50.00%) / Celestial_Robe(10.00%) / Hurricane_Fury(1.00%) / Gloom_Under_Night_Card(0.01%)
1719,DETALE,Detardeurus,90,960000,291850,123304,145925,4560,5548,66,59,90,136,140,대형,드래곤,어둠,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Morpheus's_Armlet(10.00%) / Morpheus's_Ring(10.00%) / Treasure_Box(50.00%) / Scale_Of_Red_Dragon(35.89%) / Int_Dish10(10.00%) / Pole_Axe(1.00%) / Gemmed_Crown(5.00%) / Detale_Card(0.01%)
1734,KIEL_,Kiel D-01,90,1523000,2356200,512602,1178100,3280,6560,28,32,130,160,199,중형,무형,어둠,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Old_Card_Album,20.00%,Pocket_Watch(30.00%) / Old_Violet_Box(30.00%) / Morrigane's_Pendant(10.00%) / Glittering_Clothes(10.00%) / Survival_Rod_(5.00%) / Counter_Dagger(5.00%) / Morrigane's_Belt(10.00%) / Kiel_Card(0.01%)
1157,PHARAOH,Pharaoh,93,445997,114990,41899,57495,2267,3015,67,70,93,104,89,대형,인간형,어둠,Yggdrasilberry,55.00%,Royal_Jelly,50.00%,Crystal_Jewel__,50.00%,Broken_Pharaoh_Symbol(58.20%) / Tutankhamen's_Mask(25.00%) / Solar_Sword(1.00%) / Holy_Robe(1.50%) / Gemmed_Crown(5.00%) / Tablet(3.00%) / Bazerald(0.80%) / Pharaoh_Card(0.01%)
2068,BOITATA,Boitata,93,1283990,74288,77950,37144,3304,4266,32,66,99,109,100,대형,동물,불,Old_Violet_Box,55.00%,Old_Violet_Box,50.00%,Old_Card_Album,20.00%,Treasure_Box(50.00%) / Hurricane_Fury(1.00%) / Hunting_Spear(1.00%) / Yggdrasilberry(5.00%) / Elunium(10.00%) / Oridecon(10.00%) / Hell_Fire(1.00%)
1373,LORD_OF_DEATH,Lord of the Dead,94,603383,131343,43345,65671,3430,4232,77,73,99,109,100,대형,악마,어둠,Yggdrasilberry,55.00%,Crystal_Jewel__,50.00%,Old_Violet_Box,50.00%,Boroken_Shiled_Piece(53.35%) / Pole_Axe(0.05%) / House_Auger(0.10%) / Ring_(0.02%) / Shine_Spear_Blade(0.10%) / War_Axe(0.01%) / Iron_Driver(0.02%) / Lord_Of_Death_Card(0.01%)
1312,TURTLE_GENERAL,Turtle General,97,320700,18202,9800,9101,2438,3478,50,54,45,65,105,대형,동물,땅,Turtle_Shell,55.00%,Yggdrasilberry,15.00%,Old_Violet_Box,20.00%,Iron_Driver(0.08%) / War_Axe(0.05%) / Cookbook09(2.00%) / Pole_Axe(0.09%) / Broken_Shell(53.35%) / Immaterial_Sword(0.80%) / Union_Of_Tribe(0.01%) / Turtle_General_Card(0.01%)
1685,APOCALIPS_H,Vesper,97,640700,200000,100000,100000,4000,10000,50,54,50,70,160,대형,동물,성,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Broken_Steel_Piece(50.00%) / Mystery_Piece(30.00%) / Old_Violet_Box(10.00%) / Vesper_Core01(1.00%) / Vesper_Core02(1.00%) / Vesper_Core03(1.00%) / Vesper_Core04(1.00%) / Apocalips_H_Card(0.01%)
1779,KTULLANUX,Ktullanux,98,4417000,2720050,1120020,1360025,1680,10360,40,42,126,125,177,대형,동물,물,Yggdrasilberry,55.00%,Old_Violet_Box,50.00%,Old_Violet_Box,50.00%,Ice_Scale(90.00%) / Old_Card_Album(30.00%) / Clack_Of_Servival(30.00%) / Herald_Of_GOD(50.00%) / Old_Violet_Box(50.00%) / Yggdrasilberry(50.00%) / Ktullanux_Card(0.01%)
1874,BEELZEBUB_,Beelzebub,98,6666666,6666666,6666666,3333333,10000,13410,40,40,110,250,166,대형,악마,유령,Old_Violet_Box,55.00%,Yggdrasilberry,50.00%,Box_Of_Grudge,55.00%,Broken_Crown(90.00%) / Variant_Shoes(20.00%) / Death_Note(20.00%) / Destruction_Rod(20.00%) / Bison_Horn(20.00%) / Elunium(54.32%) / Chonchon_Doll(55.00%) / Berzebub_Card(0.01%)
1502,PORING_V,Bring it on!,99,95000000,87250,27895,43625,10000,30000,0,10,100,100,255,중형,식물,독,Sword_Of_Grave_Keeper,10.00%,Poring__Card,1.00%,Elven_Ears,2.00%,Poring_Hat(100.00%) / Flame_Sprits_Armor(25.00%) / Water_Sprits_Armor(25.00%) / Earth_Sprits_Armor(25.00%) / Wind_Sprits_Armor(25.00%) / Bloody_Iron_Ball(40.00%) / Large_Jellopy(100.00%) / Holy_Guard(45.00%)
1646,B_SEYREN,Lord Knight Seyren,99,1647590,4835600,1569970,2417800,7238,11040,72,37,110,65,130,중형,인간형,불,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Edge(25.00%) / Full_Plate_Armor_(35.00%) / Grave_(90.00%) / Brionac(35.00%) / Longinus's_Spear(30.00%) / Dragon_Slayer(25.00%) / Skewer(15.00%) / B_Seyren_Card(0.01%)
1647,B_EREMES,Assassin Cross Eremes,99,1411230,4083400,1592380,2041700,4189,8289,37,39,181,37,122,중형,인간형,독,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Moonlight_Sword(15.00%) / House_Auger(15.00%) / Glittering_Clothes(90.00%) / Exercise(35.00%) / Assasin_Dagger(35.00%) / Bloody_Roar(35.00%) / Ginnungagap(35.00%) / B_Eremes_Card(0.01%)
1648,B_HARWORD,Whitesmith Howard,99,1460000,4002340,1421000,2001170,7822,8251,66,36,73,35,136,중형,인간형,땅,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Mysteltainn_(35.00%) / Byeorrun_Gum(25.00%) / Clothes_Of_The_Lord(90.00%) / Sabbath(35.00%) / Great_Axe(35.00%) / Guillotine(25.00%) / Tomahawk(35.00%) / B_Harword_Card(0.01%)
1649,B_MAGALETA,High Priest Margaretha,99,1092910,4257000,1318800,2128500,4688,5580,35,78,84,182,92,중형,인간형,성,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Berserk(35.00%) / Safety_Ring(25.00%) / Celestial_Robe(90.00%) / Book_Of_The_Apocalypse(35.00%) / Quadrille(35.00%) / Grand_Cross(25.00%) / Diary_Of_Great_Sage(35.00%) / B_Magaleta_Card(0.01%)
1650,B_SHECIL,Sniper Cecil,99,1349000,4093000,1526000,2046500,4892,9113,22,35,180,67,193,중형,인간형,바람,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Luna_Bow,20.00%,Combat_Knife(35.00%) / Sucsamad(35.00%) / Old_Violet_Box(90.00%) / Moonlight_Sword(15.00%) / Grimtooth_(35.00%) / Bow_Of_Rudra(15.00%) / Dragon_Wing(25.00%) / B_Shecil_Card(0.01%)
1651,B_KATRINN,High Wizard Kathryne,99,1069920,4008200,1636700,2004100,1197,4394,10,88,89,223,128,중형,인간형,유령,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Cursed_Dagger(35.00%) / Counter_Dagger(35.00%) / Critical_Ring(90.00%) / Robe_Of_Casting(25.00%) / Celestial_Robe(25.00%) / Survival_Rod_(30.00%) / Glittering_Clothes(35.00%) / B_Katrinn_Card(0.01%)
1708,THANATOS,Memory of Thanatos,99,445660,3666000,2145060,1833000,3812,7483,35,35,108,86,147,대형,악마,유령,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Treasure_Box(10.00%) / Morrigane's_Manteau(10.00%) / Piece_Of_Bone_Armor(50.00%) / Full_Plate_Armor_(50.00%) / Grave_(50.00%) / Wing_Of_Eagle(10.00%) / Bloody_Iron_Ball(5.00%) / Thanatos_Card(0.01%)
1751,RANDGRIS,Valkyrie Randgris,99,3567200,2854900,3114520,1427450,5560,9980,25,42,120,120,220,대형,천사,성,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Old_Card_Album,20.00%,Valhalla_Flower(50.00%) / Valkyrie_Armor(16.00%) / Valkyrie_Manteau(30.00%) / Valkyrie_Shoes(30.00%) / Helm_(50.00%) / Bloody_Edge(25.00%) / Randgris_Card(0.01%)
1766,EM_ANGELING,Angeling,99,128430,0,0,0,60,71,40,50,17,80,126,소형,천사,성,Jellopy,50.00%,Jellopy,50.00%,Poring_Doll,50.00%,
1767,EM_DEVILING,Deviling,99,128430,0,0,0,60,71,40,50,17,80,126,소형,천사,성,Jellopy,50.00%,Jellopy,50.00%,Poring_Doll,50.00%,
1832,IFRIT,Ifrit,99,7700000,3154321,3114520,1577160,13530,17000,40,50,180,190,199,대형,무형,불,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Old_Card_Album,20.00%,Flame_Heart(100.00%) / Spiritual_Ring(30.00%) / Ring_Of_Flame_Lord(2.00%) / Ring_Of_Resonance(2.00%) / Hell_Fire(20.00%) / Fire_Brand(20.00%) / Flame_Sprits_Armor_(1.00%) / Ifrit_Card(0.01%)
1917,MOROCC_,Wounded Morocc,99,8388607,3600000,3000000,1800000,15000,18000,29,65,160,250,180,대형,악마,어둠,Yggdrasilberry,55.00%,Old_Violet_Box,50.00%,Old_Violet_Box,50.00%,Diabolus_Helmet(10.00%) / Diabolus_Robe(50.00%) / Diabolus_Armor(50.00%) / Diabolus_Boots(50.00%) / Dark_Crystal(90.00%) / Dark_Debris(90.00%)
2022,S_NYDHOG,Nidhoggr's Shadow,117,3450000,4800000,3900000,2400000,17000,49000,60,75,34,236,188,대형,드래곤,어둠,Old_Violet_Box,55.00%,Old_Violet_Box,50.00%,Old_Card_Album,20.00%,Dark_Red_Scale(50.00%) / Treasure_Box(50.00%) / Gold_Ring(50.00%) / Cardo(5.00%) / Katzbalger(5.00%) / Pole_Axe(5.00%) / Piece_Of_Angent_Skin(20.00%)
