몬스터ID,몬스터명,MVP,레벨,종족,속성,드롭1,확률1,드롭2,확률2,드롭3,확률3,드롭4,확률4,드롭5,확률5,드롭6,확률6,드롭7,확률7,드롭8,확률8,MVP드롭1,MVP확률1,MVP드롭2,MVP확률2,MVP드롭3,MVP확률3
1951,Crystal,,1,무형,무속성,Piece_Of_Cake,38.00%,Candy_Striper,45.00%,White_Chocolate,50.00%,Gift_Box_2,49.00%,Banana_Juice,65.00%,Chocolate,50.00%,Yggdrasilberry,2.00%,,,,,,,,
1952,Crystal,,1,무형,무속성,Piece_Of_Cake,38.00%,Candy_Striper,45.00%,White_Chocolate,50.00%,Gift_Box_4,49.00%,Apple_Juice,65.00%,Chocolate,50.00%,Seed_Of_Yggdrasil,2.50%,,,,,,,,
1953,Crystal,,1,무형,무속성,Piece_Of_Cake,38.00%,Candy_Striper,45.00%,White_Chocolate,50.00%,Gift_Box_1,49.00%,Carrot_Juice,65.00%,Chocolate,50.00%,Branch_Of_Dead_Tree,3.00%,,,,,,,,
1954,Crystal,,1,무형,무속성,Piece_Of_Cake,38.00%,Candy_Striper,45.00%,White_Chocolate,50.00%,Gift_Box_3,49.00%,Grape_Juice,65.00%,Chocolate,50.00%,Old_Blue_Box,1.00%,,,,,,,,
1973,Poring,,1,식물,물,Jellopy,70.00%,Sticky_Mucus,4.00%,Apple,10.00%,Empty_Bottle,15.00%,Water_Of_Blessing,30.00%,,,,,,,,,,,,
2057,Cramp,,1,식물,물,,,,,,,,,,,,,,,,,,,,,,
1007,Fabre,,2,곤충,땅,Fluff,65.00%,Feather,5.00%,Club_,0.80%,Azure_Jewel,0.05%,Green_Herb,7.00%,Clover,10.00%,Club,2.00%,Fabre_Card,0.01%,,,,,,
1008,Pupa,,2,곤충,땅,Phracon,0.80%,Chrysalis,55.00%,Sticky_Mucus,6.00%,Guard_,0.02%,Shell,10.00%,Sticky_Mucus,6.00%,Iron_Ore,2.00%,Pupa_Card,0.01%,,,,,,
1090,Mastering,,2,식물,물,Snowy_Horn,2.00%,Unripe_Apple,0.50%,Scarlet_Jewel,10.00%,Angel's_Safeguard,10.00%,Apple,80.00%,Apple,80.00%,Apple_Juice,40.00%,Mastering_Card,0.01%,,,,,,
1229,Fabre,,2,곤충,땅,Fluff,65.00%,Feather,6.00%,Club_,0.80%,Azure_Jewel,0.08%,Green_Herb,7.50%,Clover,15.00%,Club,2.00%,Fabre_Card,0.01%,,,,,,
1230,Pupa,,2,곤충,땅,Phracon,3.00%,Chrysalis,60.00%,Sticky_Mucus,7.00%,Guard_,0.02%,Shell,13.00%,Sticky_Mucus,7.00%,Iron_Ore,3.00%,Pupa_Card,0.01%,,,,,,
1047,Peco Peco Egg,,3,무형,무속성,Phracon,2.50%,Shell,15.00%,Guard_,0.02%,Red_Herb,4.00%,Red_Herb,4.00%,Empty_Bottle,18.00%,White_Platter,0.10%,Pecopeco_Egg_Card,0.01%,,,,,,
1049,Picky,,3,동물,불,Feather_Of_Birds,90.00%,Feather,7.00%,Cotton_Shirt_,1.50%,Red_Herb,5.50%,Milk,3.00%,Yellow_Gemstone,0.50%,Picky_Card,0.01%,,,,,,,,
1062,Santa Poring,,3,식물,성,Candy,20.00%,Candy_Striper,10.00%,Red_Herb,10.00%,Apple,10.00%,Santa's_Hat,1.00%,Apple,0.07%,Poring__Card,0.01%,,,,,,,,
1063,Lunatic,,3,동물,무속성,Clover,65.00%,Feather,10.00%,Pierrot_Nose,0.04%,Apple,20.00%,Red_Herb,6.00%,Carrot,11.00%,Rainbow_Carrot,0.20%,Lunatic_Card,0.01%,,,,,,
1113,Drops,,3,식물,불,Jellopy,75.00%,Rod_,0.80%,Sticky_Mucus,5.00%,Apple,11.00%,Empty_Bottle,17.00%,Apple,8.00%,Orange_Juice,0.20%,Drops_Card,0.01%,,,,,,
1232,Peco Peco Egg,,3,무형,무속성,Phracon,1.20%,Shell,15.00%,Guard_,0.02%,Red_Herb,4.50%,Red_Herb,4.50%,Empty_Bottle,20.00%,White_Platter,0.15%,Pecopeco_Egg_Card,0.01%,,,,,,
1240,Picky,,3,동물,불,Feather_Of_Birds,65.00%,Feather,8.50%,Cotton_Shirt_,1.50%,Red_Herb,6.50%,Milk,3.50%,Yellow_Gemstone,0.60%,Picky_Card,0.01%,,,,,,,,
1572,Drops,,3,식물,불,,,,,,,,,,,,,,,,,,,,,,
1726,Lunatic,,3,동물,무속성,,,,,,,,,,,,,,,,,,,,,,
1010,Willow,,4,식물,땅,Tree_Root,90.00%,Wooden_Block,1.00%,Resin,15.00%,Sweet_Potato,7.00%,Tree_Of_Archer_3,35.00%,Tree_Of_Archer_2,20.00%,Tree_Of_Archer_1,10.00%,Wilow_Card,0.01%,,,,,,
1011,Chonchon,,4,곤충,바람,Iron,0.50%,Shell,65.00%,Jellopy,15.00%,Cutter_,0.55%,Wing_Of_Fly,1.00%,Chonchon_Doll,0.05%,Iron_Ore,1.50%,Chonchon_Card,0.01%,,,,,,
1048,Thief Bug Egg,,4,곤충,어둠,Phracon,3.00%,Chrysalis,50.00%,Guard_,0.02%,Sticky_Mucus,6.00%,Red_Gemstone,1.00%,Black_Ladle,0.10%,Iron_Ore,2.50%,Thief_Bug_Egg_Card,0.01%,,,,,,
1050,Picky,,4,동물,불,Feather_Of_Birds,90.00%,Feather,7.00%,Egg_Shell,0.10%,Red_Herb,6.00%,Milk,3.00%,Yellow_Gemstone,0.50%,Tiny_Egg_Shell,0.10%,Picky__Card,0.01%,,,,,,
1097,Ant Egg,,4,무형,무속성,Phracon,3.20%,Shell,20.00%,Jellopy,20.00%,Sticky_Mucus,6.50%,Empty_Bottle,20.00%,Iron_Ore,2.00%,Andre_Egg_Card,0.01%,,,,,,,,
1183,Chonchon,,4,곤충,바람,Iron,0.50%,Shell,55.00%,Jellopy,15.00%,Cutter_,0.55%,Wing_Of_Fly,1.00%,Chonchon_Doll,0.05%,Chonchon_Card,0.01%,,,,,,,,
1236,Ant Egg,,4,무형,무속성,Phracon,1.35%,Shell,27.40%,Jellopy,30.00%,Sticky_Mucus,7.50%,Empty_Bottle,20.00%,Iron_Ore,2.20%,Andre_Egg_Card,0.01%,,,,,,,,
1241,Picky,,4,동물,불,Feather_Of_Birds,65.00%,Feather,8.50%,Egg_Shell,0.07%,Red_Herb,7.50%,Milk,3.50%,Yellow_Gemstone,0.60%,Picky__Card,0.01%,,,,,,,,
1009,Condor,,5,동물,바람,Talon,90.00%,Bow_,1.50%,Yellow_Gemstone,0.80%,Arrow,55.00%,Meat,4.00%,Feather_Of_Birds,20.00%,Orange,6.00%,Condor_Card,0.01%,,,,,,
1012,Roda Frog,,5,어류,물,Sticky_Webfoot,90.00%,Spawn,5.00%,Green_Herb,3.00%,Azure_Jewel,0.07%,Empty_Bottle,20.00%,Roda_Frog_Card,0.01%,,,,,,,,,,
1901,Condor,,5,천사,성,Heart_Box,50.00%,,,,,,,,,,,,,,,,,,,,
1051,Thief Bug,,6,곤충,무속성,Worm_Peelings,25.00%,Leather_Jacket_,0.80%,Red_Herb,3.50%,Jellopy,20.00%,Leather_Jacket,1.20%,Iron_Ore,2.50%,Thief_Bug_Card,0.01%,,,,,,,,
1093,Eclipse,,6,동물,무속성,Fillet,2.00%,Red_Herb,80.00%,White_Jewel,12.00%,Glass_Bead,15.00%,Four_Leaf_Clover,0.30%,Rainbow_Carrot,0.50%,Angel's_Protection,10.00%,Eclipse_Card,0.01%,,,,,,
1879,Eclipse,,6,동물,무속성,,,,,,,,,,,,,,,,,,,,,,
1167,Savage Babe,,7,동물,땅,Animal's_Skin,90.00%,Axe_,1.00%,Meat,5.00%,Arrow,10.00%,Feather,8.50%,Phracon,0.80%,Sweet_Milk,0.40%,Savage_Babe_Card,0.01%,,,,,,
1727,Savage Babe,,7,동물,땅,,,,,,,,,,,,,,,,,,,,,,
1004,Hornet,,8,곤충,바람,Wind_Of_Verdure,0.80%,Bee_Sting,90.00%,Jellopy,35.00%,Main_Gauche_,0.15%,Green_Herb,3.50%,Honey,1.50%,Hornet_Card,0.01%,,,,,,,,
1005,Familiar,,8,동물,어둠,Tooth_Of_Bat,55.00%,Falchion_,0.20%,Ribbon_,0.15%,Wing_Of_Fly,0.50%,Grape,1.00%,Red_Herb,7.00%,Center_Potion,0.50%,Farmiliar_Card,0.01%,,,,,,
1091,Dragon Fly,,8,곤충,바람,Sweet_Gents,2.00%,Red_Herb,80.00%,Violet_Jewel,15.00%,Chonchon_Doll,20.00%,Clip,30.00%,Lusty_Iron,0.50%,Grape_Juice,30.00%,Dragon_Fly_Card,0.01%,,,,,,
1419,Familiar,,8,동물,어둠,,,,,,,,,,,,,,,,,,,,,,
1052,Rocker,,9,곤충,땅,Grasshopper's_Leg,90.00%,Guitar_Of_Vast_Land,0.10%,Green_Feeler,0.04%,Javelin_,0.80%,Leaflet_Of_Hinal,0.10%,Grasshopper_Doll,0.10%,Hinalle,0.10%,Rocker_Card,0.01%,,,,,,
1107,Baby Desert Wolf,,9,동물,불,Phracon,0.85%,Animal's_Skin,55.00%,Adventurere's_Suit_,0.80%,Meat,6.00%,Cotton_Shirt,2.00%,Asura_,0.05%,Orange,10.00%,Desert_Wolf_Babe_Card,0.01%,,,,,,
1728,Baby Desert Wolf,,9,동물,불,,,,,,,,,,,,,,,,,,,,,,
1053,Thief Bug Female,,10,곤충,어둠,Worm_Peelings,35.00%,Garlet,2.50%,Blade_,0.15%,Insect_Feeler,2.00%,Red_Herb,4.00%,Red_Gemstone,0.50%,Iron_Ore,3.00%,Thief_Bug_Female_Card,0.01%,,,,,,
1076,Skeleton,,10,언데드,불사,Phracon,0.90%,Skel_Bone,8.00%,Mace_,0.80%,Jellopy,30.00%,Red_Herb,8.50%,Skul_Ring,0.30%,Skeleton_Card,0.01%,,,,,,,,
1089,Toad,,10,어류,물,Big_Sis'_Ribbon,0.50%,Honey,20.00%,Bluish_Green_Jewel,10.00%,Glass_Bead,15.00%,Alchol,1.00%,Detrimindexta,1.00%,Kiss_Of_Angel,10.00%,Toad_Card,0.01%,,,,,,
1161,Plankton,,10,식물,물,Single_Cell,90.00%,Garlet,3.00%,Sticky_Mucus,7.00%,Alchol,0.04%,Empty_Bottle,10.00%,Dew_Laden_Moss,0.20%,Center_Potion,0.50%,Plankton_Card,0.01%,,,,,,
1247,Antonio,,10,식물,성,Red_Socks_With_Holes,100.00%,Gift_Box,2.00%,Well_Baked_Cookie,15.00%,Piece_Of_Cake,10.00%,Candy,55.00%,Candy_Striper,55.00%,Santa's_Hat,2.50%,Antonio_Card,0.01%,,,,,,
1858,Plankton,,10,식물,물,Single_Cell,90.00%,Sago,3.00%,Sticky_Mucus,7.00%,Alchol,0.04%,Empty_Bottle,10.00%,Dew_Laden_Moss,0.20%,Center_Potion,0.50%,Plankton_Card,0.01%,,,,,,
1962,Christmas Thief,,10,인간형,무속성,,,,,,,,,,,,,,,,,,,,,,
1070,Kukre,,11,어류,물,Crystal_Blue,0.30%,Worm_Peelings,55.00%,Garlet,4.00%,Monster's_Feed,5.00%,Red_Herb,6.50%,Insect_Feeler,4.50%,Earthworm_The_Dude,0.20%,Kukre_Card,0.01%,,,,,,
1175,Tarou,,11,동물,어둠,Rat_Tail,90.00%,Animal's_Skin,30.00%,Feather,8.00%,Monster's_Feed,10.00%,Ora_Ora,0.02%,Tarou_Card,0.01%,,,,,,,,,,
1020,Mandragora,,12,식물,땅,Yellow_Live,0.50%,Stem,90.00%,Spear_,0.30%,Green_Herb,3.50%,Shoot,3.00%,Four_Leaf_Clover,0.03%,Whip_Of_Earth,0.10%,Mandragora_Card,0.01%,,,,,,
1589,Mandragora,,12,식물,땅,,,,,,,,,,,,,,,,,,,,,,
1690,Spring Rabbit,,12,동물,땅,Hometown_Gift,1.00%,Lucky_Cookie01,3.00%,Lucky_Cookie03,3.00%,Bag_Of_Nuts,50.00%,,,,,,,,,,,,,,
1815,Rice Cake,,12,무형,무속성,Small_Rice_Dough,100.00%,Small_Rice_Dough,100.00%,Small_Rice_Dough,100.00%,Small_Rice_Dough,100.00%,Small_Rice_Dough,100.00%,Small_Rice_Dough,50.00%,Small_Rice_Dough,40.00%,Small_Rice_Dough,30.00%,,,,,,
1816,Gourd,,12,무형,무속성,Apple,100.00%,,,,,,,,,,,,,,,,,,,,
1859,Mandragora,,12,식물,땅,Yellow_Live,0.50%,Stem,90.00%,Spear_,0.30%,Langka,3.50%,Shoot,3.00%,Four_Leaf_Clover,0.03%,Whip_Of_Earth,0.10%,Mandragora_Card,0.01%,,,,,,
1898,Zombie,,12,언데드,불사,Jade_Plate,100.00%,,,,,,,,,,,,,,,,,,,,
1094,Ambernite,,13,곤충,물,Crystal_Blue,0.50%,Snail's_Shell,90.00%,Garlet,12.00%,Shell,30.00%,Solid_Shell,0.02%,Elunium_Stone,0.14%,Iron_Ore,1.50%,Ambernite_Card,0.01%,,,,,,
1024,Wormtail,,14,식물,땅,Yellow_Live,0.60%,Emveretarcon,0.25%,Pointed_Scale,55.00%,Pike_,0.30%,Yellow_Herb,0.70%,Azure_Jewel,0.05%,Green_Lace,1.00%,Worm_Tail_Card,0.01%,,,,,,
1031,Poporing,,14,식물,독,Sticky_Mucus,55.00%,Garlet,15.00%,Green_Herb,5.00%,Grape,2.00%,Apple,0.05%,Main_Gauche,0.05%,Apple,2.50%,Poporing_Card,0.01%,,,,,,
1068,Hydra,,14,식물,물,Emveretarcon,0.25%,Tentacle,55.00%,Sticky_Mucus,15.00%,Detrimindexta,0.20%,Panacea,0.05%,Meat,7.00%,Hydra_Card,0.01%,,,,,,,,
1579,Hydra,,14,식물,물,,,,,,,,,,,,,,,,,,,,,,
2081,Strange Hydra,,14,식물,물,,,,,,,,,,,,,,,,,,,,,,
1015,Zombie,,15,언데드,불사,Decayed_Nail,90.00%,Cardinal_Jewel_,0.05%,Sticky_Mucus,10.00%,Horrendous_Mouth,0.50%,White_Jewel,0.70%,Zombie_Card,0.01%,,,,,,,,,,
1025,Boa,,15,동물,땅,Scale_Of_Snakes,90.00%,Katana_,0.15%,Red_Herb,9.00%,Emveretarcon,0.35%,Posionous_Canine,8.00%,Shining_Scales,0.01%,Strawberry,6.00%,Snake_Card,0.01%,,,,,,
1074,Shellfish,,15,어류,물,Clam_Shell,55.00%,Flesh_Of_Clam,10.00%,Stone,5.00%,Grit,10.00%,Sparkling_Dust,0.10%,Elunium_Stone,0.18%,Shellfish_Card,0.01%,,,,,,,,
1242,Marin,,15,식물,물,Garlet,32.00%,Sticky_Mucus,15.00%,Cold_Scroll_2_1,1.00%,Skyblue_Jewel,0.40%,Blue_Herb,0.75%,Candy,3.50%,Poring_Hat,0.01%,Marin_Card,0.01%,,,,,,
1394,Zombie,,15,언데드,불사,,,,,,,,,,,,,,,,,,,,,,
1520,Boiled Rice,,15,식물,물,Rice_Ball,55.00%,Meat_Dumpling_Doll,30.00%,Soft_Leaf,10.00%,Great_Leaf,10.00%,,,,,,,,,,,,,,
1595,Marin,,15,식물,물,,,,,,,,,,,,,,,,,,,,,,
1747,Boa,,15,동물,땅,,,,,,,,,,,,,,,,,,,,,,
1841,Snake Lord's Minion,,15,동물,땅,Gold_Coin_US,20.00%,Green_Ale_US,2.00%,Treasure_Box_,0.10%,,,,,,,,,,,,,,,,
1857,Marin,,15,식물,물,Garlet,32.00%,Sticky_Mucus,15.00%,Cold_Scroll_2_1,1.00%,Skyblue_Jewel,0.40%,Ube_Jam,0.75%,Candy,3.50%,Poring_Hat,0.01%,Marin_Card,0.01%,,,,,,
1014,Spore,,16,식물,물,Mushroom_Spore,90.00%,Red_Herb,8.00%,Blue_Herb,0.50%,Spore_Doll,0.10%,Hat,0.40%,Poison_Spore,0.05%,Strawberry,6.00%,Spore_Card,0.01%,,,,,,
1018,Creamy,,16,곤충,바람,Powder_Of_Butterfly,90.00%,Silk_Robe_,0.10%,Honey,1.50%,Wing_Of_Butterfly,1.00%,Fancy_Flower,0.02%,Flower,5.00%,Wind_Scroll_1_3,1.00%,Creamy_Card,0.01%,,,,,,
1174,Stainer,,16,곤충,바람,Wind_Of_Verdure,0.70%,Emveretarcon,0.30%,Colorful_Shell,90.00%,Garlet,21.00%,Elunium_Stone,0.25%,Solid_Shell,0.10%,Iron_Ore,3.00%,Stainer_Card,0.01%,,,,,,
1231,Creamy,,16,곤충,바람,Powder_Of_Butterfly,60.00%,Silk_Robe_,0.10%,Honey,1.80%,Wing_Of_Butterfly,2.00%,Fancy_Flower,0.04%,Flower,8.00%,Creamy_Card,0.01%,,,,,,,,
1042,Steel Chonchon,,17,곤충,바람,Wind_Of_Verdure,0.90%,Steel,0.30%,Garlet,24.00%,Shell,90.00%,Solid_Shell,0.30%,Iron,2.00%,Iron_Ore,3.00%,Steel_Chonchon_Card,0.01%,,,,,,
1055,Muka,,17,식물,땅,Yellow_Live,0.70%,Cactus_Needle,90.00%,Empty_Bottle,20.00%,Green_Herb,4.00%,Red_Herb,10.00%,Guisarme,0.50%,Iron_Ore,2.50%,Muka_Card,0.01%,,,,,,
1095,Andre,,17,곤충,땅,Worm_Peelings,90.00%,Garlet,10.00%,Sticky_Mucus,5.00%,Yellow_Live,0.50%,Sparkling_Dust,0.04%,Iron_Ore,3.50%,Elunium_Stone,0.28%,Andre_Card,0.01%,,,,,,
1104,Coco,,17,동물,땅,Acorn,90.00%,Hood_,0.20%,Fluff,30.00%,Animal's_Skin,25.00%,Sweet_Potato,5.00%,Sandals_,0.25%,Strawberry,6.00%,Coco_Card,0.01%,,,,,,
1162,Rafflesia,,17,식물,땅,Root_Of_Maneater,55.00%,Scell,16.00%,Four_Leaf_Clover,0.02%,Ment,0.10%,Hinalle,0.10%,Shoot,5.50%,White_Herb,0.30%,Rafflesia_Card,0.01%,,,,,,
1237,Andre,,17,곤충,땅,Worm_Peelings,60.00%,Garlet,30.00%,Sticky_Mucus,10.00%,Shell,30.00%,Sparkling_Dust,0.06%,Iron_Ore,3.50%,Elunium_Stone,0.28%,Andre_Card,0.01%,,,,,,
1790,Rafflesia,,17,식물,땅,Golden_Jewel_,30.00%,Red_Jewel_,40.00%,Blue_Jewel_,20.00%,,,,,,,,,,,,,,,,
1854,Muka,,17,식물,땅,Yellow_Live,0.70%,Cactus_Needle,90.00%,Empty_Bottle,20.00%,Kaong,4.00%,Red_Herb,10.00%,Guisarme,0.50%,Iron_Ore,2.50%,Muka_Card,0.01%,,,,,,
1860,Coco,,17,동물,땅,Acorn,90.00%,Hood_,0.20%,Fluff,30.00%,Animal's_Skin,25.00%,Sweet_Potato,5.00%,Sandals_,0.25%,Sweet_Bean,6.00%,Coco_Card,0.01%,,,,,,
1056,Smokie,,18,동물,땅,Raccoon_Leaf,55.00%,Animal's_Skin,55.00%,Sweet_Potato,8.00%,Cat_Hairband,0.01%,Raccoondog_Doll,0.02%,Zargon,0.05%,Bluish_Green_Jewel,0.02%,Smokie_Card,0.01%,,,,,,
1088,Vocal,,18,곤충,땅,Oldman's_Romance,0.50%,Grasshopper's_Leg,80.00%,Azure_Jewel,10.00%,Grasshopper_Doll,15.00%,Angel's_Arrival,10.00%,Center_Potion,7.00%,Guitar_Of_Gentle_Breeze,0.10%,Vocal_Card,0.01%,,,,,,
1120,Ghostring,,18,악마,유령,Transparent_Cloth,53.35%,Ghost_Bandana,1.00%,Thief_Clothes_,0.50%,Branch_Of_Dead_Tree,5.00%,Old_Blue_Box,0.10%,Emperium,0.30%,Ghost_Scroll_1_5,1.00%,Ghostring_Card,0.01%,,,,,,
1128,Horn,,18,곤충,땅,Yellow_Live,0.80%,Emveretarcon,0.35%,Horn,55.00%,Guisarme_,0.15%,Shell,55.00%,Solid_Shell,0.70%,Horn_Card,0.01%,,,,,,,,
1145,Martin,,18,동물,땅,Moustache_Of_Mole,90.00%,Nail_Of_Mole,5.00%,Jur_,0.10%,Goggle_,0.05%,Safety_Helmet,0.01%,Battered_Pot,0.10%,Goggle,0.15%,Martin_Card,0.01%,,,,,,
1160,Piere,,18,곤충,땅,Worm_Peelings,90.00%,Garlet,11.00%,Sticky_Mucus,6.00%,Wind_Of_Verdure,0.30%,Sparkling_Dust,0.05%,Iron_Ore,4.00%,Elunium_Stone,0.31%,Andre_Card,0.01%,,,,,,
1238,Piere,,18,곤충,땅,Worm_Peelings,57.00%,Garlet,11.00%,Sticky_Mucus,6.00%,Wind_Of_Verdure,0.15%,Sparkling_Dust,0.05%,Iron_Ore,4.00%,Elunium_Stone,0.31%,Andre_Card,0.01%,,,,,,
1266,Aster,,18,어류,땅,Sticky_Mucus,5.00%,Coral_Reef,0.40%,Single_Cell,12.00%,Yellow_Herb,2.00%,Zargon,0.60%,Apple,1.00%,Aster_Card,0.01%,,,,,,,,
1561,Smokie,,18,동물,땅,,,,,,,,,,,,,,,,,,,,,,
1576,Ghostring,,18,악마,유령,,,,,,,,,,,,,,,,,,,,,,
1581,Vocal,,18,곤충,땅,,,,,,,,,,,,,,,,,,,,,,
1811,Bandit,,18,동물,땅,Sunglasses,1.00%,Tiger_Skin_Panties,5.00%,Aloebera,10.00%,Ice_Cream,20.00%,Bamboo_Basket,5.00%,,,,,,,,,,,,
1862,Martin,,18,동물,땅,Moustache_Of_Mole,90.00%,Macapuno,5.00%,Jur_,0.10%,Goggle_,0.05%,Safety_Helmet,0.01%,Battered_Pot,0.10%,Goggle,0.15%,Martin_Card,0.01%,,,,,,
1019,Peco Peco,,19,동물,불,Bill_Of_Birds,90.00%,Sandals_,0.20%,Yellow_Herb,2.00%,Red_Herb,9.00%,Wand,1.00%,Orange,10.00%,Pecopeco_Card,0.01%,,,,,,,,
1054,Thief Bug Male,,19,곤충,어둠,Emveretarcon,0.40%,Insect_Feeler,55.00%,Worm_Peelings,15.00%,Slayer_,0.10%,Yellow_Herb,0.90%,Bluish_Green_Jewel,0.05%,Katana,0.50%,Thief_Bug_Male_Card,0.01%,,,,,,
1066,Vadon,,19,어류,물,Crystal_Blue,0.40%,Nipper,90.00%,Garlet,30.00%,Padded_Armor_,0.05%,Solid_Shell,1.00%,Elunium_Stone,0.40%,Blue_Gemstone,0.50%,Vadon_Card,0.01%,,,,,,
1077,Poison Spore,,19,식물,독,Poison_Spore,90.00%,Hat_,0.20%,Green_Herb,5.50%,Blue_Herb,0.60%,Karvodailnirol,0.50%,Mushroom_Spore,12.00%,Zargon,0.05%,Poison_Spore_Card,0.01%,,,,,,
1105,Deniro,,19,곤충,땅,Worm_Peelings,90.00%,Garlet,30.00%,Sticky_Mucus,12.00%,Boody_Red,0.50%,Sparkling_Dust,0.08%,Iron_Ore,4.50%,Elunium_Stone,0.34%,Andre_Card,0.01%,,,,,,
1234,Yoyo,,19,동물,땅,Yoyo_Tail,60.00%,Cacao,5.00%,Yellow_Herb,1.30%,Animal's_Skin,55.00%,Monkey_Doll,0.07%,Strawberry,5.00%,Orange,10.00%,Yoyo_Card,0.01%,,,,,,
1239,Deniro,,19,곤충,땅,Worm_Peelings,60.00%,Garlet,30.00%,Sticky_Mucus,12.00%,Boody_Red,0.45%,Sparkling_Dust,0.08%,Iron_Ore,4.50%,Elunium_Stone,0.34%,Andre_Card,0.01%,,,,,,
1428,Poison Spore,,19,식물,독,,,,,,,,,,,,,,,,,,,,,,
