ID,이름(영),무기종류,ATK,MATK,슬롯,필요레벨,무기레벨,무게,구매가,판매가,정련,사용직업,효과(요약)
1209,Main Gauche,단검,43,0,0,1,1,60,2400,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1240,Princess Knife,단검,84,0,0,1,4,40,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",전스탯+1
1243,Novice Main-Gauche,단검,45,0,0,1,1,0.1,1,0,×,"노비스, 슈퍼노비스",
1247,Kindle Dagger,단검,39,0,0,1,1,60,10000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus bAtkEle,Ele_Fire;
"
1248,Obsidian Dagger,단검,39,0,0,1,1,60,10000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus bAtkEle,Ele_Earth;
"
1249,Fisherman's Dagger,단검,39,0,0,1,1,60,10000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus bAtkEle,Ele_Water;
"
13000,Jujube Dagger,단검,39,0,0,1,1,60,10000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus bAtkEle,Ele_Wind;
"
13021,Combat Knife,단검,129,0,0,1,4,0,1,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bIgnoreDefRace,RC_DemiHuman;
bonus bIgnoreDefRace,RC_Player_Human;
bonus2 "
13022,Dagger of Counter,단검,209,0,0,1,4,0,1,0,×,"Mage, 세이지, SoulLinker, 위저드",CRIT+90
13023,Ashura,단검,120,0,0,1,1,0,1,0,×,닌자,"bonus bMatkRate,15;
"
13040,Novice Cutter,단검,50,0,3,1,1,0,0,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
13041,Novice Main Gauche,단검,63,0,3,1,1,0,0,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
13048,Damascus,단검,153,0,0,1,3,0,0,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus2 bAddSize,Size_All,40;
"
1210,Dirk,단검,59,0,2,12,2,50,8500,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1211,Dirk,단검,59,0,3,12,2,50,8500,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1212,Dirk,단검,59,0,0,12,2,50,8500,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1213,Dagger,단검,73,0,2,12,2,60,14000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1214,Dagger,단검,73,0,3,12,2,60,14000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1215,Dagger,단검,73,0,0,12,2,60,14000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1216,Stiletto,단검,87,0,2,12,2,70,19500,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1217,Stiletto,단검,87,0,3,12,2,70,19500,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1218,Stiletto,단검,87,0,0,12,2,70,19500,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
13010,Asura,단검,50,0,2,12,1,60,3000,0,○,닌자,"bonus bMatkRate,10;
"
13011,Asura,단검,50,0,3,12,1,60,3000,0,○,닌자,"bonus bMatkRate,10;
"
1219,Gladius,단검,105,0,2,24,3,70,43000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",
1220,Gladius,단검,105,0,3,24,3,70,43000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",
1221,Gladius,단검,105,0,0,24,3,70,43000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",
1222,Damascus,단검,118,0,1,24,3,80,49000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bUnbreakableWeapon;
"
1223,Fortune Sword,단검,90,0,0,24,4,50,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",LUK+5
1226,Damascus,단검,118,0,2,24,3,80,49000,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bUnbreakableWeapon;
"
13012,Murasame,단검,95,0,1,24,2,70,20,0,○,닌자,"bonus bAtkEle,Ele_Water;
bonus2 bCriticalAddRace,RC_DemiHuman,10;
bonus2 bCritic"
13013,Murasame,단검,95,0,2,24,2,70,20,0,○,닌자,"bonus bAtkEle,Ele_Water;
bonus2 bCriticalAddRace,RC_DemiHuman,10;
bonus2 bCritic"
1245,Cinquedea,단검,110,0,1,30,3,70,40000,0,○,"노비스, 슈퍼노비스",
1246,Cinquedea,단검,110,0,2,30,3,70,40000,0,○,"노비스, 슈퍼노비스",
13007,Jitte,단검,70,0,0,35,2,40,20000,0,○,닌자,"bonus bBreakWeaponRate,200;
"
13008,Jitte,단검,70,0,1,35,2,40,20000,0,○,닌자,"bonus bBreakWeaponRate,200;
"
1224,Swordbreaker,단검,70,0,0,36,4,100,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bBreakWeaponRate,500;
"
1225,Mailbreaker,단검,70,0,0,36,4,100,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bBreakArmorRate,500;
"
1227,Weeder Knife,단검,80,0,0,36,4,40,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bIgnoreDefRace,RC_Plant;
bonus2 bAddRace,RC_Plant,15;
bonus2 bSubRace,RC_P"
1228,Combat Knife,단검,80,0,0,36,4,40,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bIgnoreDefRace,RC_DemiHuman;
bonus bIgnoreDefRace,RC_Player_Human;
bonus2 "
1229,Kitchen Knife,단검,75,0,0,36,4,50,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",CRIT+30
1230,Ice Pick,단검,80,0,0,36,4,60,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bDefRatioAtkClass,Class_All;
"
1231,Bazerald,단검,70,0,0,36,4,50,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",INT+5
1232,Assassin Dagger,단검,140,0,0,36,4,60,20,0,○,어쌔신,ASPD+2%
1233,Exorciser,단검,90,0,0,36,4,70,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bIgnoreDefRace,RC_Demon;
bonus2 bSubRace,RC_Demon,5;
bonus2 bSubRace,RC_De"
1234,Moonlight Dagger,단검,50,0,0,36,4,70,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bMaxSPrate,10;
bonus bSPDrainValue,3;
"
1235,Azoth,단검,110,0,0,36,4,70,20,0,○,알케미스트,"bonus bClassChange,300;
"
1236,Sucsamad,단검,140,0,0,36,4,80,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus2 bAddEle,Ele_Earth,10;
bonus2 bAddEle,Ele_Wind,10;
bonus bUnbreakableWeapo"
1237,Grimtooth,단검,180,0,0,36,4,80,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",FLEE+10
13017,Ice Pick,단검,70,0,1,36,4,60,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bDefRatioAtkClass,Class_All;
"
13018,Sucsamad,단검,140,0,1,36,4,80,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus2 bAddEle,Ele_Earth,10;
bonus2 bAddEle,Ele_Wind,10;
bonus bUnbreakableWeapo"
13031,Swordbreaker,단검,70,0,3,36,4,100,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bBreakWeaponRate,500;
"
13032,Mailbreaker,단검,70,0,3,36,4,100,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bBreakArmorRate,500;
"
13033,Assassin Dagger,단검,140,0,1,36,4,60,20,0,○,어쌔신,ASPD+2%
13014,Hakujin,단검,120,0,0,42,3,80,20,0,○,닌자,INT+2
13015,Hakujin,단검,120,0,1,42,3,80,20,0,○,닌자,INT+2
13020,Warrior's Balmung,단검,170,0,0,48,4,100,20,0,○,전직업,전스탯+5
13005,Angelic Wing Dagger,단검,120,0,2,50,4,60,20,0,○,"노비스, 슈퍼노비스",
13039,Ivory Knife,단검,130,0,2,50,3,70,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","AGI+2, ASPD+3%"
13046,Krierg,단검,110,0,3,50,2,50,20,0,○,"어쌔신, 로그, 도둑","bonus3 bAddEffOnSkill,""RG_BACKSTAP"",Eff_Bleeding,1000;
bonus2 bSkillAtk,""RG_BACK"
13047,Weihna,단검,135,0,2,50,3,50,20,0,○,"어쌔신, 로그, 도둑","bonus3 bAddEffOnSkill,""RG_RAID"",Eff_Poison,1000;
autobonus ""{ bonus2 bAddClass,C"
1242,Dagger of Counter,단검,140,0,0,55,4,55,120000,0,○,"Mage, 세이지, SoulLinker, 위저드",CRIT+90
1244,Holy Dagger,단검,100,0,0,55,4,80,20,0,○,"어쌔신, 닌자, 로그, 도둑",DEX+1
13003,Cowardice Blade,단검,80,0,1,55,3,70,52000,0,○,"어쌔신, 닌자, 로그, 도둑",DEF+5
13004,Cowardice Blade,단검,80,0,2,55,3,70,52000,0,○,"어쌔신, 닌자, 로그, 도둑",DEF+5
13027,Scalpel,단검,120,0,3,55,4,50,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus2 bAddEff,Eff_Bleeding,500;
"
13028,Tooth Blade,단검,130,0,1,55,4,70,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","if (getrefine()>=9) {
   bonus3 bAutoSpell,""NPC_SLOWCAST"",2,70;
} else
   bonus3"
13001,Dragon Killer,단검,110,0,0,60,4,90,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus bIgnoreDefRace,RC_Dragon;
bonus2 bExpAddRace,RC_Dragon,10;
"
13030,Dragon Killer,단검,110,0,2,60,4,90,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus bIgnoreDefRace,RC_Dragon;
bonus2 bExpAddRace,RC_Dragon,10;
"
1239,Poison Knife,단검,64,0,0,65,3,80,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bAtkEle,Ele_Poison;
bonus2 bAddEff,Eff_Poison,3000;
"
13006,Khukri,단검,150,0,0,65,3,60,240000,0,○,닌자,"bonus bAtkEle,Ele_Dark;
bonus2 bAddEff,Eff_Curse,1000;
"
13016,Poison Knife,단검,64,0,2,65,3,80,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bAtkEle,Ele_Poison;
bonus2 bAddEff,Eff_Poison,3000;
"
1238,Zeny Knife,단검,64,0,0,70,3,120,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus2 bGetZenyNum,100,40;
"
13002,Ginnungagap,단검,148,0,0,70,4,70,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus bAtkEle,Ele_Dark;
bonus2 bAddEff,Eff_Blind,500;
bonus2 bAddEff2,Eff_Blind,"
13009,Kamaitachi,단검,125,0,0,70,4,90,48000,0,○,닌자,"ASPD+3%, CRIT+3"
13019,Ginnungagap,단검,148,0,1,70,4,70,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus bAtkEle,Ele_Dark;
bonus2 bAddEff,Eff_Blind,500;
bonus2 bAddEff2,Eff_Blind,"
13034,Desert Twilight,단검,130,0,2,70,2,60,20,0,○,어쌔신,
13035,Sandstorm,단검,50,0,4,70,2,60,20,0,○,어쌔신,
13038,Dagger of Hunter,단검,120,0,3,70,3,70,20,0,○,로그,"STR+1, AGI+2, DEX+1"
13036,Brave Assassin's Damascus,단검,120,0,0,80,3,0,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","STR+1, AGI+1"
