ID,이름(영),슬롯,한글이름
2382,Elite Shooter Suit,갑옷,정예사수의슈츠
2394,Glorious Suit,갑옷,크리거슈트1
2391,Life Link,갑옷,라이프링크
15000,Bone Plate,갑옷,본플레이트
2383,Brynhild,갑옷,브륀힐트
2101,Guard,방패,가드
2102,Guard,방패,가드_
2103,Buckler,방패,버클러
2104,Buckler,방패,버클러_
2105,Shield,방패,쉴드
2106,Shield,방패,쉴드_
2107,Mirror Shield,방패,미러쉴드
2108,Mirror Shield,방패,미러쉴드_
2109,Memory Book,방패,메모라이즈북
2112,Novice Guard,방패,초보자용가드
2121,Memory Book,방패,메모라이즈북_
2127,Secular Mission,방패,슬리퍼의사자
2132,Shell Of Resistance,방패,쉘터레지스턴스
2136,Cracked Buckler,방패,흠집난버클러
2199,Ahura Mazdah,방패,아후라마즈다
2116,Angelic Guard,방패,천사의보호
2117,Arm Guard,방패,팔목토시
2118,Arm Guard,방패,팔목토시_
2113,Novice Shield,방패,초보자용쉴드
2119,Advanced Arm Guard,방패,팔목토시개량
2120,Advanced Arm Guard,방패,팔목토시개량_
2129,Exorcism Bible,방패,구마의성서
2133,Tournament Shield,방패,토너먼트쉴드
2123,Orleans's Server,방패,오를레앙의서버
2124,Thorny Buckler,방패,가시방패
2114,Stone Buckler,방패,스톤버클러
2115,Valkyrja's Shield,방패,발키리아쉴드
2138,Bradium Shield,방패,브라디움방패
2110,Holy Guard,방패,홀리가드
2122,Platinum Shield,방패,플래티넘쉴드
2131,Magic Bible Vol1,방패,마력의서제1권
2134,Shield of Naga,방패,나가의비늘방패
2135,Shadow Guard,방패,쉐도우가드
2125,Strong Shield,방패,스트롱쉴드
2126,Guyak Shield,방패,구약방패
2130,Cross Shield,방패,크로스쉴드
2111,Sacred Mission,방패,신의사자
2128,Sacred Mission,방패,신의사자_
2137,Neo Valkyrja's Shield,방패,발키리아쉴드_C
2139,Flame Thrower,방패,화염방사기
2501,Hood,망토,후드
2502,Hood,망토,후드_
2503,Muffler,망토,머플러
2504,Muffler,망토,머플러_
2505,Manteau,망토,망토
2506,Manteau,망토,망토_
2508,Ragamuffin Manteau,망토,누더기망토
2510,Somber Novice Hood,망토,초보자용후드
2533,Freyja Cape,망토,프레이야의망토
2534,Ruffler,망토,옷플러
2535,Cloak Of Survival,망토,생존의망토_C
2537,Diabolus Manteau,망토,마왕의망토
2543,Sylphid Manteau,망토,실피드망토
2544,Leather of Tendrilion,망토,텐드릴리온의가죽
2546,Beach Manteau,망토,비치망토
2547,Cheap Undershirt,망토,싸구려런닝셔츠
2550,Fisher's Muffler,망토,낚시꾼의머플러
2553,Dragon Manteau,망토,드래곤의망토
2522,Undershirt,망토,런닝셔츠
2523,Undershirt,망토,런닝셔츠_
2524,Valkyrian Manteau,망토,발키리의망토
2521,Angelic Cardigan,망토,천사의온기
2518,Morpheus's Shawl,망토,모르피셔스쇼올
2507,Ancient Cape,망토,옛영주의망토
2512,Novice Manteau,망토,초보자용망토
2525,Ancient Cape,망토,옛영주의망토_
2527,Dragon Breath,망토,드래곤의숨결
2526,Coat of Dragon Scale,망토,용비늘외투
2520,Goibne's Spaulders,망토,게브네이어깨장식
2528,Wool Scarf,망토,울스카프
2529,Rider Insignia,망토,라이더휘장
2530,Rider Insignia,망토,라이더휘장_
2551,Crest of the Rider,망토,라이더휘장_M
2536,Skin of Ventus,망토,모로크_현신4
2519,Morrigane's Manteau,망토,모리아네의망토
2516,Falcon Muffler,망토,매의날개옷
2517,Vali's Manteau,망토,발리의망토
2531,Ulfhedinn,망토,울프헤딘
2532,Mithril Magic Cape,망토,미스릴마법망토
2542,Flame Manteau of Naght Sieger,망토,불꽃망토
2545,Musika,망토,무시카
2552,Mithril Magic Manteau,망토,미스릴마법망토_M
2509,Survivor's Manteau,망토,생존의망토
2511,Skeleton Manteau,망토,스켈레톤망토
2513,Heavenly Maiden Robe,망토,목보호대
2514,Pauldron,망토,폴드런
2538,Captain's Manteau,망토,사령관의망토
2539,Commander's Manteau,망토,지휘관의망토
2540,Sheriff's Manteau,망토,보안관의망토
2549,Glorious Muffler,망토,크리거머플러1
2515,Eagle Wing,망토,윙오브이글
2554,Nydhorgg's Shadow Garb,망토,대행자의껍질조각
2541,Asprika,망토,아스프리카
2548,Neo Muffler,망토,머플러_C
2401,Sandals,신발,샌들
2402,Sandals,신발,샌들_
2403,Shoes,신발,슈즈
2404,Shoes,신발,슈즈_
2405,Boots,신발,부츠
2406,Boots,신발,부츠_
2407,Crystal Pumps,신발,유리구두
2408,Shackles,신발,족쇠
2409,High Heels,신발,뾰족구두
2414,Novice Slippers,신발,초보자용샌들
2427,Golden Shoes,신발,황금신발
2428,Freyja Boots,신발,프레이야의장화
2429,Iron Boots,신발,쇠로만든신발01
2430,Iron Boots,신발,쇠로만든신발02
2431,Valley Shoes,신발,발위에슈즈
2432,High Heels,신발,뾰족구두_
2433,Diabolus Boots,신발,마왕의부츠
2439,Refresh Shoes,신발,리프레쉬슈즈
2441,Beach Sandals,신발,비치샌들
2442,Red Stocking Boots,신발,구멍난부츠
2443,Fisher's Boots,신발,낚시장화
2446,Glorious Mass-Production Shoes,신발,크리거슈즈3
2447,Army Boots,신발,군용부츠
2448,Air Boss,신발,애어보스
2421,Valkyrian Shoes,신발,발키리의슈즈
2420,Angel's Reincarnation,신발,천사의재래
2413,Safety Boots,신발,안전화
2415,Bunny Slipper,신발,슬리퍼
2416,Novice Shoes,신발,초보자용슈즈
2422,High Fashion Sandals,신발,고급샌들
2419,Goibne's Greaves,신발,게브네이의군화
2424,Tidal Shoes,신발,타이달슈즈
2425,Black Leather Boots,신발,검은가죽부츠
2434,Black Leather Boots,신발,검은가죽부츠_
2450,Vital Tree Shoes,신발,생명나무줄기슈즈
2445,Glorious Popularized Shoes,신발,크리거슈즈2
2411,Greaves,신발,그리브
2412,Greaves,신발,그리브_
2417,Fricco's Shoes,신발,프리코슈즈
2418,Vidar's Boots,신발,비다르의부츠
2440,Sprint Shoes,신발,스프린트슈즈
2426,Shadow Walk,신발,쉐도우워크
2435,Battle Greaves,신발,전투그리브
2436,Combat Boots,신발,군화
2437,Battle Boots,신발,전투부츠
2438,Paw Of Cat,신발,고양이의발
2444,Glorious Shoes,신발,크리거슈즈1
2423,Variant Shoes,신발,배리언트슈즈
2449,Variant Shoes,신발,배리언트슈즈_M
2410,Sleipnir,신발,슬레이프니르
2607,Clip,악세서리,클립
2609,Skull Ring,악세서리,해골반지
2610,Gold Ring,악세서리,금반지
2611,Silver Ring,악세서리,은반지
2612,Flower Ring,악세서리,꽃반지
2613,Diamond Ring,악세서리,다이아반지
2634,Wedding Ring,악세서리,신랑결혼반지
2635,Wedding Ring,악세서리,신부결혼반지
2636,Gold Christmas Ring,악세서리,금반지_
2637,Silver Christmas Ring,악세서리,은반지_
2638,Sacred Incense,악세서리,피사향포
2639,Occult Incense,악세서리,구마향포
2640,Kafra Ring,악세서리,카프라반지
2642,Serin's Gold Ring,악세서리,세린의금반지
2643,Serin's Gold Ring,악세서리,세린의금반지_
2644,The Sign,악세서리,더사인_
2646,Bunch of Carnations,악세서리,카네이션꽃다발
2647,Nile Rose,악세서리,나일로즈
2658,Nile Rose,악세서리,나일로즈_
2669,RJC Necklace,악세서리,금목걸이_
2672,3rd Anniversary Celebration Ring,악세서리,기념반지
2677,Spiritual Ring,악세서리,스피리츄얼링
2678,Ring Of Flame Lord,악세서리,플레임로드링
2679,Ring Of Resonance,악세서리,레조넌스링
2680,Lesser Elemental Ring,악세서리,하급정령의반지
2681,Republic Anniversary Ring,악세서리,공화기념일반지
2704,Golden Accessories,악세서리,황금악세사리
2705,Golden Accessories,악세서리,황금악세사리2
2706,Arrest Handcuffs,악세서리,구속수갑
2707,GUSLI,악세서리,
2708,Chinese Handicraft,악세서리,중국제수공품
2709,5th Anniversary Coin,악세서리,오주년기념코인
2710,Bloody Iron Ball,악세서리,철구_C
2711,Spiritual Ring,악세서리,스피리츄얼링_C
2713,Certificate,악세서리,수행증명서
2714,Marvelous Pendant,악세서리,신기한팬던트
2715,Skull Ring,악세서리,해골반지_
2729,Diabolus Ring,악세서리,마왕의링
2734,Directive,악세서리,임무명령서A
2735,Directive,악세서리,임무명령서B
2738,Shiny Coin,악세서리,반짝기념주화
2739,Ordinary Coin,악세서리,일반기념주화
2740,Rusty Coin,악세서리,녹슨기념주화
2741,All In One Ring,악세서리,올인원반지
2751,Academy Of Badge,악세서리,아카데미뱃지
2764,Small Fishing Rod,악세서리,작은낚시대
2765,Novice Figure,악세서리,노비스피규어
2766,Swordman Figure,악세서리,검사피규어
2767,Acolyte Figure,악세서리,복사피규어
2768,Mage Figure,악세서리,마술사피규어
2769,Archer Figure,악세서리,궁수피규어
2770,Thief Figure,악세서리,도둑피규어
2771,Merchant Figure,악세서리,상인피규어
2774,Glorious Popularized Ring,악세서리,크리거반지3
2775,Lure,악세서리,낚시미끼
2776,Adventurer's Trusty Towel,악세서리,시원한타올
2782,Ring of the Ancient Wise King,악세서리,지혜의왕의반지
2786,Spiritual Ring,악세서리,스피리츄얼링_M
2799,Kuirpenring,악세서리,쿠이르펜링
5817,Valentine Pledge,악세서리,발렌타인의증표
2628,Novice Armlet,악세서리,노비스암릿
2631,Celebration Ring,악세서리,돌반지
2655,Bloodied Shackle Ball,악세서리,피묻은철구
2656,Armor Charm,악세서리,하이퍼체인저
2657,Laboratory Permit,악세서리,출입카드
2659,Vesper Core 01,악세서리,베스퍼코어01
2660,Vesper Core 02,악세서리,베스퍼코어02
2661,Vesper Core 03,악세서리,베스퍼코어03
2662,Vesper Core 04,악세서리,베스퍼코어04
2666,Lantern of Hope,악세서리,등잔
2668,Woman Glory,악세서리,여성의영광
2674,Ring of Honor,악세서리,명예의반지
2675,Lord Ring,악세서리,로드링
2676,Hunter's Earring,악세서리,헌터이어링
2688,Critical Ring,악세서리,크리티컬링_C
2689,Earring,악세서리,이어링_C
2690,Ring,악세서리,링_C
2691,Necklace,악세서리,네클리스_C
2692,Glove,악세서리,글러브_C
2693,Brooch,악세서리,브로치_C
2694,Rosary,악세서리,로자리_C
2695,Safety Ring,악세서리,세이프티링_C
2696,Vesper Core 01,악세서리,베스퍼코어01_C
2697,Vesper Core 02,악세서리,베스퍼코어02_C
2698,Vesper Core 03,악세서리,베스퍼코어03_C
2699,Vesper Core 04,악세서리,베스퍼코어04_C
2752,Praccsinos,악세서리,프락시너스_C
2753,Beholder Ring,악세서리,비홀더링
2754,Hallow Ring,악세서리,핼로우링
2755,Clamorous Ring,악세서리,클래머러스링
2756,Chemical Ring,악세서리,케미컬링
2757,Insecticide Ring,악세서리,인섹티사이드링
2758,Fischer Ring,악세서리,피셔링
2759,Decussate Ring,악세서리,디커세이트링
2760,Bloody Ring,악세서리,블러디링
2761,Satanic Ring,악세서리,사타닉링
2762,Dragon Ring,악세서리,드라군링
2781,Aumdura's Benefit,악세서리,아움두라의혜택
2784,Christmas Musicbox,악세서리,오홀리나이트
2791,Fresh Fish,악세서리,갓잡은생선
2819,Swordsman Manual,악세서리,검사입문서
2820,Thief Manual,악세서리,도둑입문서
2821,Acolyte Manual,악세서리,복사입문서
2822,Archer Manual,악세서리,궁수입문서
2823,Merchant Manual,악세서리,상인입문서
2824,Mage Manual,악세서리,마술사입문서
5828,Honor Gold Ring,악세서리,명예의금반지
5844,Loyal Ring3,악세서리,
2601,Ring,악세서리,링
2602,Earring,악세서리,이어링
2603,Necklace,악세서리,네클리스
2604,Glove,악세서리,글러브
2605,Brooch,악세서리,브로치
2608,Rosary,악세서리,로자리
2682,Ring of Water,악세서리,물의반지
2683,Ring of Fire,악세서리,불의반지
2684,Ring of Wind,악세서리,바람의반지
2685,Ring of Earth,악세서리,대지의반지
2627,Belt,악세서리,벨트
2654,Shinobi Sash,악세서리,시노비의허리띠
2670,Ring of Longing,악세서리,그리움의반지
2712,Ragnarok Limited Edition,악세서리,애장판북
2777,Shaman Ring,악세서리,샤먼링
2778,Shaman Earrings,악세서리,샤먼이어링
2779,Dark Knight Belt,악세서리,다크나이트벨트
2648,Morpheus's Ring,악세서리,모르피셔스반지
2649,Morpheus's Bracelet,악세서리,모르피셔스팔찌
2617,Celebrant's Mitten,악세서리,신관의장갑
2618,Matyr's Leash,악세서리,마타의목걸이
2615,Safety Ring,악세서리,세이프티링
2616,Critical Ring,악세서리,크리티컬링
2652,Goddess of Fortune's Cursed Brooch,악세서리,저주행운브로치
2673,Warrior's Shining Ring,악세서리,빛나는반지
2614,Eye of Dullahan,악세서리,듀라한아이
2641,Fashion Hip Sack,악세서리,힙색
2703,Expert Ring,악세서리,익스퍼트링
2719,Iron Wrist,악세서리,아이언리스트
2645,Moonlight Ring,악세서리,달빛반지
2665,Exorcising Ring,악세서리,퇴마의반지
2667,Renown Archer's Gloves,악세서리,명사수의장갑
2700,Red Silk Seal,악세서리,봉인의붉은비단
2788,Bradium Earring,악세서리,브라디움이어링
2789,Bradium Ring,악세서리,브라디움링
2790,Bradium Brooch,악세서리,브라디움브로치
2650,Morrigane's Belt,악세서리,모리아네의벨트
2651,Morrigane's Pendant,악세서리,모리아네팬던트
2773,Glorious Mass-Production Ring,악세서리,크리거반지2
2619,Bow Thimble,악세서리,활골무
2671,Bow Thimble,악세서리,활골무_
2718,Lunatic Brooch,악세서리,루나틱브로치
2620,Rogue's Treasure,악세서리,도적의반지
2720,Medal of Honor,악세서리,훈장_검사
2721,Medal of Honor,악세서리,훈장_도둑
2722,Medal of Honor,악세서리,훈장_복사
2723,Medal of Honor,악세서리,훈장_마법사
2724,Medal of Honor,악세서리,훈장_궁수
2725,Medal of Honor,악세서리,훈장_상인
2726,Icarus Wings,악세서리,이카루스의날개
2727,Bowman Scarf,악세서리,명궁의스카프
2733,Sheriff Badge,악세서리,훈장_건너
2743,Angelic Ring,악세서리,앤젤릭링
2744,Sprint Ring,악세서리,스프린트반지
2745,Pinguicula Corsage,악세서리,핀귀큘라코르사주
2783,Eye Stone Ring,악세서리,눈구슬반지
2663,Gauntlet of Hit,악세서리,명중의건틀릿
2664,Belcarf,악세서리,벨카프
2736,Navel Ring,악세서리,배꼽찌
2737,Foot Ring,악세서리,발찌
2787,Waterdrop Brooch,악세서리,물방울브로치
2716,Librarian Glove,악세서리,사서의장갑
2717,Pocket Watch,악세서리,회중시계_
2728,Cursed Hand,악세서리,모로크_현신1
2730,Seal of Continental Guard,악세서리,모로크_인장
2731,Rune Spellstone,악세서리,모로크_주문석
2732,Death Loop,악세서리,모로크_고리
2746,Cold Heart,악세서리,냉정한마음
2747,Black Cat,악세서리,블랙캣
2780,Dark Knight Glove,악세서리,다크나이트글로브
2772,Glorious Ring,악세서리,크리거반지1
2748,Cursed Star,악세서리,커즈드스타
2621,Ring,악세서리,링_
2622,Earring,악세서리,이어링_
2623,Necklace,악세서리,네클리스_
2624,Glove,악세서리,글러브_
2625,Brooch,악세서리,브로치_
2626,Rosary,악세서리,로자리_
2653,Sacrifice Ring,악세서리,세크리파이스링
2701,Orleans's Glove,악세서리,오를레앙의장갑
2702,Bison Horn,악세서리,들소의뿔
2749,Linen Glove,악세서리,리넨글러브
2785,Orlean's Gloves,악세서리,오를레앙의장갑_M
2629,Megingjard,악세서리,메긴기오르드
2630,Brisingamen,악세서리,브리싱가멘
2763,Neo Skull Ring,악세서리,해골반지_C
2794,Magic Stone Ring,악세서리,마력석반지
2795,Green Apple Ring,악세서리,풋사과반지
2796,Rocks,악세서리,마력깃든돌
2797,Rocks,악세서리,마력깃든돌_
2798,Will Of Exhausted Angel,악세서리,지친전사의의지
2800,Accelerator,악세서리,가속장치
2801,Hovering Booster,악세서리,호버링부스터
2802,Suicidal Device,악세서리,자폭장치
2803,Shape Shifter,악세서리,셰이프쉬프터
2804,Cooling Device,악세서리,냉각장치
2805,Magnetic Field Generator,악세서리,자기장필드생성기
2806,Barrier Builder,악세서리,배리어생성기
2807,Repair Kit,악세서리,리페어키트
2808,Camouflague Generator,악세서리,광학미채발생기
2809,High Quality Cooler,악세서리,고급냉각장치
2810,Special Cooler,악세서리,특수냉각장치
2206,Wedding Veil,상단헤드기어,면사포
2207,Fancy Flower,상단헤드기어,장식용꽃
2208,Ribbon,상단헤드기어,리본
2209,Ribbon,상단헤드기어,리본_
2210,Hair Band,상단헤드기어,머리띠
2211,Bandana,상단헤드기어,두건
2213,Kitty Band,상단헤드기어,고양이머리띠
2214,Bunny Band,상단헤드기어,토끼머리띠
2215,Flower Band,상단헤드기어,꽃머리띠
2216,Biretta,상단헤드기어,비레타
2217,Biretta,상단헤드기어,비레타_
2220,Hat,상단헤드기어,햇
2221,Hat,상단헤드기어,햇_
2222,Turban,상단헤드기어,둥근모자
2223,Turban,상단헤드기어,둥근모자_
2226,Cap,상단헤드기어,캡
2227,Cap,상단헤드기어,캡_
2228,Helm,상단헤드기어,헬름
2229,Helm,상단헤드기어,헬름_
2230,Gemmed Sallet,상단헤드기어,쥬얼헬름
2231,Gemmed Sallet,상단헤드기어,쥬얼헬름_
2232,Circlet,상단헤드기어,서클릿
2233,Circlet,상단헤드기어,서클릿_
2236,Santa Hat,상단헤드기어,산타모자
2244,Big Ribbon,상단헤드기어,왕리본
2245,Sweet Gent,상단헤드기어,스위트젠틀
2247,Romantic Gent,상단헤드기어,올드스터로맨스
2248,Western Grace,상단헤드기어,웨스턴그레이스
2249,Coronet,상단헤드기어,코로넷
2250,Cute Ribbon,상단헤드기어,머리끈
2251,Monk Hat,상단헤드기어,성직자의모자
2252,Wizard Hat,상단헤드기어,위저드햇
2253,Sunflower,상단헤드기어,장식용해바라기
2254,Angel Wing,상단헤드기어,천사의머리띠
2255,Evil Wing,상단헤드기어,악마의머리띠
2256,Majestic Goat,상단헤드기어,마제스틱고우트
2257,Unicorn Horn,상단헤드기어,새하얀뿔
2259,Mini Propeller,상단헤드기어,프로펠라
2261,Army Cap,상단헤드기어,프론테라군모
2271,Jack be Dandy,상단헤드기어,머리안경
2272,Stop Post,상단헤드기어,정지표지판
2273,Doctor Band,상단헤드기어,의사머리띠
2274,Ghost Bandana,상단헤드기어,망자의머리띠
2275,Red Bandana,상단헤드기어,반다나
2277,Nurse Cap,상단헤드기어,간호모
2279,Bomb Wick,상단헤드기어,심지
2280,Sakkat,상단헤드기어,삿갓
2282,Halo,상단헤드기어,영혼고리
2283,Ear Muffs,상단헤드기어,귀마개
2284,Antlers,상단헤드기어,사슴뿔
2287,Pirate Bandana,상단헤드기어,해적두건
2289,Poo Poo Hat,상단헤드기어,거시기
2290,Funeral Hat,상단헤드기어,장례건
2293,Pretend Murdered,상단헤드기어,연극소도구
2294,Stellar,상단헤드기어,스타더스트
2298,Green Feeler,상단헤드기어,초록더듬이
2299,Orc Helm,상단헤드기어,오크족헬름
5003,Joker Jester,상단헤드기어,광대모자
5008,Puppy Love,상단헤드기어,풋사랑
5009,Safety Helmet,상단헤드기어,안전모
5010,Indian Fillet,상단헤드기어,원주민머리띠
5011,Aerial,상단헤드기어,안테나
5012,Ph.D Hat,상단헤드기어,학사모
5013,Lord Kaho's Horn,상단헤드기어,로드카호의뿔
5015,Egg Shell,상단헤드기어,장식용알껍질
5016,Boy's Cap,상단헤드기어,학생모
5018,Feather Bonnet,상단헤드기어,깃털모자
5019,Corsair,상단헤드기어,커세어
5020,Kafra Band,상단헤드기어,카프라의머리띠
5023,Parcel Hat,상단헤드기어,보따리모
5024,Cake Hat,상단헤드기어,케이크모자
5027,Mage Hat,상단헤드기어,마법사의모자
5028,Candle,상단헤드기어,촛불
5032,Sunday Hat,상단헤드기어,나들이모자
5034,Bulb Band,상단헤드기어,전구머리띠
5041,Heart Hairpin,상단헤드기어,하트머리핀
5047,Fashionable Glasses,상단헤드기어,패션선글래스
5048,Cresent Hairpin,상단헤드기어,초승달머리핀
5049,Striped Hairband,상단헤드기어,줄무늬머리띠
5052,Blue Hairband,상단헤드기어,청색머리띠
5055,Novice False Eggshell,상단헤드기어,초보자용알껍질
5056,Fruit of Love,상단헤드기어,사랑의열매
5058,Drooping Cat,상단헤드기어,늘어진고양이
5060,Party Hat,상단헤드기어,꼬깔모자
5061,Flower Hairpin,상단헤드기어,꽃머리핀
5063,Giant Band Aid,상단헤드기어,반창고
5064,Smokie Leaf,상단헤드기어,나뭇잎투구
5067,Sombrero,상단헤드기어,솜브레로
5069,Kitsune Mask,상단헤드기어,여우가면
5070,Hot-blooded Headband,상단헤드기어,열혈머리띠
5071,Indian Headband,상단헤드기어,인디안머리띠
5073,Model Training Hat,상단헤드기어,자세교정모자
5075,Cowboy Hat,상단헤드기어,카우보이모자
5076,Beanie,상단헤드기어,털모자
5077,Tulip Hairpin,상단헤드기어,튤립머리핀
5079,X Hairpin,상단헤드기어,X자머리핀
5082,Decorative Mushroom,상단헤드기어,버섯머리띠
5084,Lazy Smokie,상단헤드기어,귀찮은너구리
5097,Holiday Hat,상단헤드기어,꼬깔모자_
5099,Neko Mimi,상단헤드기어,고양이모자
5108,Renown Detective's Cap,상단헤드기어,탐정모자
5109,Red Bonnet,상단헤드기어,차양모자
5114,Bucket Hat,상단헤드기어,벙거지모자
5115,Winter Hat,상단헤드기어,방한모자
5116,Banana Hat,상단헤드기어,바나나모자
5117,Mystic Rose,상단헤드기어,미스틱로즈
5118,Puppy Headband,상단헤드기어,강아지귀
5120,Bucket Hat,상단헤드기어,벙거지모자_
5132,Angeling Hat,상단헤드기어,엔젤링모자
5133,Sheep Hat,상단헤드기어,양모자
5134,Pumpkin-Head,상단헤드기어,호박모자
5136,Antonio's Santa Hat,상단헤드기어,산타모자_
5144,Gambler Hat,상단헤드기어,갬블러햇
5145,Carnival Joker Jester,상단헤드기어,카니발광대모자
5146,Elephant Hat,상단헤드기어,코끼리모자
5147,Baseball Cap,상단헤드기어,야구모자
5148,Phrygian Cap,상단헤드기어,국경일모자
5149,Silver Tiara,상단헤드기어,실버티아라
5150,Joker Jester,상단헤드기어,광대모자_
5153,Angeling Hairpin,상단헤드기어,엔젤링핀
5157,Orc Helm,상단헤드기어,오크족헬름_
5158,Monk Hat,상단헤드기어,성직자의모자_
5160,Majestic Goat,상단헤드기어,마제스틱고우트_
5163,Corsair,상단헤드기어,커세어_
5170,Feather Beret,상단헤드기어,깃털베레모
5171,Valkyrie Helm,상단헤드기어,발키리투구
5172,Beret,상단헤드기어,베레모
5178,Candle,상단헤드기어,촛불_
5179,Golden Tiara,상단헤드기어,골드티아라
5180,France Holiday Hat,상단헤드기어,국경일모자_
5189,Autumn Leaves,상단헤드기어,낙엽
5190,Independence Memorial Hat,상단헤드기어,야구모자_
5191,Black Ribbon,상단헤드기어,리본_검정
5192,Yellow Ribbon,상단헤드기어,리본_노랑
5193,Green Ribbon,상단헤드기어,리본_초록
5194,Pink Ribbon,상단헤드기어,리본_분홍
5195,Red Ribbon,상단헤드기어,리본_빨강
5196,Orange Ribbon,상단헤드기어,리본_주홍
5197,White Ribbon,상단헤드기어,리본_하양
5198,Drooping Bunny,상단헤드기어,늘어진토끼
5199,Baseball Cap,상단헤드기어,야구모자_I
5200,Coppola,상단헤드기어,코폴라
5201,Party Hat,상단헤드기어,꼬깔모자_B
5202,Fantastic Pumpkin-Head,상단헤드기어,호박모자_
5207,Angel Blessing,상단헤드기어,금색고리
