ID,이름(영),이름(한)
1508,Smasher,스매셔
1509,Smasher,스매셔
1510,Flail,플레일
1511,Flail,플레일
1512,Flail,플레일
1519,Chain,체인
1520,Chain,체인
1521,Chain,체인
1513,Morning Star,모닝스타
1514,Morning Star,모닝스타
1515,Morning Star,모닝스타
1516,Sword Mace,소드메이스
1517,Sword Mace,소드메이스
1518,Sword Mace,소드메이스
1522,Stunner,스터너
1532,Stunner,스터너
1523,Spike,스파이크
1524,Golden Mace,골든메이스
1525,Long Mace,롱메이스
1526,Slash,슬래쉬
1527,Quadrille,쿼드릴
1528,Grand Cross,그랜드크로스
1538,Spike,스파이크
1539,Golden Mace,골든메이스
1540,Grand Cross,그랜드크로스
1535,Hollgrehenn's Hammer,홀그렌제련망치
1533,Warrior's Balmung,용사의발뭉
1544,Lunakaligo,루나칼리고
16000,Erde,에르데
16001,Red Square Bag,빨간스퀘어백
1531,Wrench,스패너
1541,Nemesis,네메시스
1529,Iron Driver,아이언드라이버
1542,Valorous Battlefield Morning Star,전장둔기
1543,Brave Battlefield Morning Star,전장둔기
1546,Glorious Morning Star,크리거둔기
1548,Veteran Hammer,베테랑햄머
1530,Mjolnir,묘르닐
1549,Pile Bunker,파일벙커
16030,Pile Bunker S,파일벙커
16031,Pile Bunker P,파일벙커
16032,Pile Bunker T,파일벙커
13175,Lever Action Rifle,레버액션라이플
13150,Branch,라이플
13151,Cyclone,더사이클론
13152,Cyclone,더사이클론
13153,Dusk,더스크
13163,Long Barrel,롱바렐
13164,Long Barrel,롱바렐
13165,Jungle Carbine,정글카빈
13166,Jungle Carbine,정글카빈
13170,Lever Action Rifle,레버액션라이플
13171,Soldier Rifle,전장라이플
13176,Glorious Rifle,크리거라이플
13109,Wasteland Outlaw,황야의무법자
13100,Six Shooter,식스슈터
13101,Six Shooter,식스슈터
13106,Gold Lux,골드룩스
13112,Eden Revlover I,리볼버
13102,Crimson Bolt,크림즌볼트
13103,Crimson Bolt,크림즌볼트
13113,Eden Revlover II,리볼버
13104,Garrison,더개리슨
13105,Garrison,더개리슨
13107,Wasteland's Outlaw,황야의무법자
13108,Soldier Revolver,전장리볼버
13110,Glorious Pistol,크리거피스톨
13154,Rolling Stone,싱글샷건
13156,Gate Keeper,게이트키퍼
13155,Black Rose,더블샷건
13167,Gate Keeper-DD,게이트키퍼
13168,Thunder P,썬더
13169,Thunder P,썬더
13173,Soldier Shotgun,전장샷건
13178,Glorious Shotgun,크리거샷건
1921,Gun Moon Gom,거문곰
1928,Spirited Guitar,신들린기타
1929,Guitar,기타
1901,Violin,바이올린
1902,Violin,바이올린
1903,Mandolin,만돌린
1904,Mandolin,만돌린
1905,Lute,류트
1906,Lute,류트
1907,Guitar,기타
1908,Guitar,기타
1909,Harp,하프
1910,Harp,하프
1911,Gumoongoh,거문고
1912,Gumoongoh,거문고
1914,Burning Passion Guitar,불의기타
1915,Loner's Guitar,물의기타
1916,Green Acre Guitar,땅의기타
1917,Gentle Breeze Guitar,바람의기타
1926,Harp of Nepenthes,하프오브네펜데스
1918,Oriental Lute,비파
1922,Oriental Lute,비파
1913,Electric Guitar,전자기타
1919,Bass Guitar,베이스기타
1920,Berserk Guitar,신들린기타
1925,Cello,첼로
1923,Valorous Battlefield Guitar,전장악기
1924,Brave Battlefield Guitar,전장악기
1927,Glorious Guitar,크리거악기
1174,Executioner,액서큐셔너
1177,Muramash,무랑맛살
1173,Muramasa,무라마사
1190,Claymore,크레이모어
1116,Katana,카타나
1117,Katana,카타나
1118,Katana,카타나
1151,Slayer,슬레이어
1152,Slayer,슬레이어
1153,Slayer,슬레이어
1154,Bastard Sword,바스타드소드
1155,Bastard Sword,바스타드소드
1156,Bastard Sword,바스타드소드
1157,Two-Handed Sword,투핸드소드
1158,Two-Handed Sword,투핸드소드
1159,Two-Handed Sword,투핸드소드
1160,Broad Sword,브로드소드
1162,Broad Sword,브로드소드
1163,Claymore,크레이모어
1172,Claymore,크레이모어
1161,Balmung,발뭉
1164,Muramasa,무라마사
1165,Masamune,마사무네
1166,Dragon Slayer,드래곤슬레이어
1167,Schweizersabel,슈바이체르샤벨
1168,Zweihander,즈바이핸더
1169,Executioner,액서큐셔너
1170,Katzbalger,카츠발게르
1171,Zweihander,즈바이핸더
1178,Schweizersabel,슈바이체르샤벨
1179,Executioner,액서큐셔너
1180,Dragon Slayer,드래곤슬레이어
1182,Bloody Eater,블러디이터
1189,Krasnaya,크라스나야
1175,Atlas Weapon,아트로스의흉기
1176,Muscle Cutter,근육절단기
1186,Death Guidance,죽음의인도자
1183,Brave Assaulter's Katzbalger,전장양손검
1184,Valorous Assaulter's Katzbalger,전장양손검
1185,Violet Fear,바이올렛피어
1187,Glorious Claymore,크리거양손검
1188,Veteran Sword,베테랑소드
1181,Tae Goo Lyeon,태구련
1314,Tomahawk,토마호크
1373,Refined Bloody Axe,블러드액스
1374,Tomahawk,토마호크
1378,Refined Great Axe,그레이트액스
1386,Doom Slayer,둠슬레이어
1389,Tomahawk,토마호크
1315,Light Epsilon,라이트엡실론
1372,Light Epsilon,라이트엡실론
1388,Two-Handed Axe,투핸드액스
1390,Light Epsilon,라이트엡실론
1351,Battle Axe,배틀액스
1352,Battle Axe,배틀액스
1353,Battle Axe,배틀액스
1381,Novice Battle Axe,초보배틀액스
1354,Hammer,해머
1355,Hammer,해머
1356,Hammer,해머
1357,Buster,버스터
1358,Buster,버스터
1359,Buster,버스터
1360,Two-Handed Axe,투핸드액스
1361,Two-Handed Axe,투핸드액스
1362,Two-Handed Axe,투핸드액스
1363,Bloody Axe,블러드액스
1364,Great Axe,그레이트액스
1365,Sabbath,새버스
1366,Light Epsilon,라이트엡실론
1367,Slaughter,슬러터
1368,Tomahawk,토마호크
1369,Guillotine,길로틴
1387,Giant Axe,기간트액스
1383,Celestial Axe,성천도끼
1375,Berdysz,버디슈
1376,Heart Breaker,하트브레이커
1385,Bradium Stone Hammer,브라디움돌망치
1370,Doom Slayer,둠슬레이어
1371,Doom Slayer,둠슬레이어
1377,Hurricane's Fury,허리케인퓨리
1379,Valorous Insane Battle Axe,전장양손도끼
1380,Brave Insane Battle Axe,전장양손도끼
1382,Glorious Two-Handed Axe,크리거양손도끼
1384,Veteran Axe,베테랑액스
2004,Kronos,크로노스
2005,Dea Staff,스태프오브데아
2001,Divine Cross,디바인크로스
1472,Soul Staff,스태프오브소울
2000,Staff of Destruction,디스트럭션롯드
2002,Glorious Destruction Staff,크리거양손지팡이
2003,Staff of Destruction,디스트럭션롯드
1473,Wizardry Staff,위자드리스태프
1487,Lance,랜스
1488,Ahlspiess,알슈피스
1451,Guisarme,귀삼
1452,Guisarme,귀삼
1453,Guisarme,귀삼
1454,Glaive,글레이브
1455,Glaive,글레이브
1456,Glaive,글레이브
1457,Partizan,파티잔
1458,Partizan,파티잔
1459,Partizan,파티잔
1410,Lance,랜스
1411,Lance,랜스
1412,Lance,랜스
1460,Trident,트라이던트
1461,Trident,트라이던트
1462,Trident,트라이던트
1463,Halberd,핼버드
1464,Halberd,핼버드
1465,Halberd,핼버드
1466,Crescent Scythe,크레센트사이더
1467,Bill Guisarme,빌귀삼
1468,Zephyrus,제퓨로스
1469,Longinus's Spear,롱기누스의창
1470,Brionac,브류나크
1471,Hellfire,헬파이어
1476,Crescent Scythe,크레센트사이더
1481,Zephyrus,제퓨로스
1483,Ivory Lance,아이보리랜스
1485,Battle Fork,배틀포크
1474,Gae Bolg,가에볼그
1480,Gae Bolg,가에볼그
1478,Ahlspiess,알슈피스
1484,Cardo,카르도
1475,Equestrian's Spear,마상창
1477,Spectral Spear,요괴의창
1479,Spectral Spear,요괴의창
1482,Assaulter Lance,전장양손창
1486,Glorious Lance,크리거양손창
13160,Destroyer,디스트로이어
13161,Destroyer,디스트로이어
13162,Inferno,인페르노
13174,Soldier Grenade Launcher,전장런쳐
13179,Glorious Grenade Launcher,크리거런쳐
1975,Queen Is Whip,여왕님은채찍
1982,Phenomena Whip,범상치않은자의채찍
1983,Rante Whip,란테
1950,Rope,로프
1951,Rope,로프
1952,Whip,라인
1953,Whip,라인
1954,Wire Whip,와이어
1955,Wire Whip,와이어
1956,Rante Whip,란테
1957,Rante Whip,란테
1958,Tail Whip,테일
1959,Tail Whip,테일
1960,Whip,휩
1961,Whip,휩
1965,Red Flame Whip,불의채찍
1966,Icicle Whip,물의채찍
1967,Gaia Whip,땅의채찍
1968,Skipping Rope,줄넘기
1969,Blade Whip,블레이드휩
1971,Electric Wire,바람의채찍
1962,Lariat Whip,라리어트
1963,Rapture Rose,랩쳐로즈
1964,Chemeti Whip,슈메티
1979,Stem of Nepenthes,스템오브네펜데스
1970,Queen's Whip,여왕님의채찍
1976,Queen's Whip,여왕님의채찍
1972,Electric Eel,전기뱀장어
1973,Sea Witch's Foot,바다마녀의발
1974,Carrot Whip,당근채찍
1980,Whip of Balance,추채찍
1977,Valorous Battle Lariat,전장채찍
1978,Brave Battle Lariat,전장채찍
1981,Glorious Lariat,크리거채찍
1566,Diary Of Great Basil,현지의일기
1567,Refined Hardcover Book,양장본
1578,Book Of Prayer,기도하는자의서
1580,Giant Encyclopedia,대백과사전
1563,Sage's Diary,현자의일기
1581,Diary Of Great Sage,현자의일기
1582,Diary Of Great Sage,현자의일기
1550,Book,북
1551,Bible,바이블
1552,Tablet,타블렛
1553,Book of Billows,물의책
1554,Book of Mother Earth,땅의책
1555,Book of the Blazing Sun,불의책
1556,Book of Gust of Wind,바람의책
1568,Book of Billows,물의책
1569,Book of Mother Earth,땅의책
1570,Book of Blazing Sun,불의책
1571,Book of Gust of Wind,바람의책
1557,Book of the Apocalypse,묵시록
1558,Girl's Diary,소녀의일기장
1561,Hardcover Book,양장본
1560,Sage's Diary,현자의일기
1572,Principles of Magic,마법의정석
1559,Legacy of Dragon,드래곤의유산
1564,Encyclopedia,대백과사전
1573,Ancient Magic,고대의마법
1562,Battlefield Textbook,전장의서
1574,Brave Battle Strategy Book,전장책
1575,Valorous Battle Strategy Book,전장책
1576,Glorious Tablet,크리거책
1577,Glorious Apocalypse,크리거책
1565,Ledger of Death,사신의명부
1579,Book of the Dead,사신의명부
1272,Scratcher,등뒤를긁는자
1273,Refined Bloody Roar,블러디로어
1274,Refined Unholy Touch,언홀리터치
1283,Katar Of Speed,재빠른카타르
1264,Specialty Jur,바리어스쥬르
1267,Infiltrator,등뒤를베는자
1286,Jamadhar,자마다르
1250,Jur,쥬르
1251,Jur,쥬르
1252,Katar,카타르
1253,Katar,카타르
1254,Jamadhar,자마다르
1255,Jamadhar,자마다르
1284,Krishna,크리슈나
1285,Chakram,차크람
1256,Katar of Frozen Icicle,물의카타르
1257,Katar of Quaking,땅의카타르
1258,Katar of Raging Blaze,불의카타르
1259,Katar of Piercing Wind,바람의카타르
1262,Loki's Nail,로키의손톱
1268,Wild Beast Claw,야수의발톱
1269,Inverse Scale,인버스스케어
1270,Drill Katar,드릴카타르
1271,Blood Tears,혈루
1275,Katar of Frozen Icicle,물의카타르
1276,Katar of Quaking,땅의카타르
1277,Katar of Raging Blaze,불의카타르
1278,Katar of Piercing Wind,바람의카타르
1260,Sharpened Legbone of Ghoul,언데드의카타르
1263,Unholy Touch,언홀리터치
1261,Infiltrator,등뒤를베는자
1265,Bloody Roar,블러디로어
1266,Infiltrator,등뒤를베는자
1279,Brave Carnage Katar,전장카타르
1280,Valorous Carnage Katar,전장카타르
1281,Glorious Bloody Roar,크리거카타르
1282,Glorious Jamadhar,크리거카타르
13308,Huuma Blaze Shuriken,열화
13309,Huuma Giant Wheel Shuriken,대차륜
13301,Huuma Giant Wheel Shuriken,대차륜
13302,Huuma Giant Wheel Shuriken,대차륜
13303,Huuma Blaze Shuriken,열화
13300,Huuma Wing Shuriken,편익
13304,Huuma Calm Mind,명정
13305,Brave Huuma Front Shuriken,전장풍마수리검
13306,Valorous Huuma Front Shuriken,전장풍마수리검
13307,Glorious Shuriken,크리거풍마수리검
13402,Cutlus,커틀러스
13403,Solar Sword,태양검
13406,Edger,엣찌
13407,Refined Nagan,네이건
13408,Refined Fireblend,화이어브랜드
13409,Refined Immaterial Sword,무형검
13419,Holy saber,신성의세이버
13401,Excalibur,엑스칼리버
13422,Flamberge,프람베르그
1101,Sword,소드
1102,Sword,소드
1103,Sword,소드
1104,Falchion,폴쳔
1105,Falchion,폴쳔
1106,Falchion,폴쳔
1107,Blade,블레이드
1108,Blade,블레이드
1109,Blade,블레이드
13415,Novice Falchion,초보폴쳔
1124,Orcish Sword,오키쉬소드
1110,Rapier,레이피어
1111,Rapier,레이피어
1112,Rapier,레이피어
1113,Scimitar,시미터
1114,Scimitar,시미터
1115,Scimitar,시미터
1122,Ring Pommel Saber,환두태도
1125,Ring Pommel Saber,환두태도
1119,Tsurugi,츠루기
1120,Tsurugi,츠루기
1121,Tsurugi,츠루기
1123,Haedonggum,해동검
1126,Saber,세이버
1127,Saber,세이버
1128,Haedonggum,해동검
1129,Flamberge,프람베르그
1149,Flamberge,프람베르그
1146,Town Sword,타운소드
1147,Town Sword,타운소드
1130,Nagan,네이건
1131,Ice Falchion,아이스팔시온
1132,Edge,엣지
1133,Fireblend,화이어브랜드
1134,Caesar's Sword,시저즈소드
1135,Cutlus,커틀러스
1136,Solar Sword,태양검
1137,Excalibur,엑스칼리버
1138,Mysteltainn,미스틸테인
1139,Tirfing,테일핑
1140,Byeollungum,별운검
1141,Immaterial Sword,무형검
13400,Cutlus,커틀러스
1148,Star Dust Blade,스타블레이드
1144,Sashimi,사시미
13421,Ruber,루베르
13404,Platinum Shotel,백금의쇼텔
13405,Curved Sword,연검
1142,Jeweled Sword,쥬얼소드
13414,Elemental Sword,엘레멘탈소드
13420,Honglyun's Sword,홍련의검
1143,Gaia Sword,가이아소드
1145,Holy Avenger,홀리어벤져
13412,Twin Edge of Naght Sieger,트윈엣지
13413,Twin Edge of Naght Sieger,트윈엣지
13410,Valorous Gladiator Blade,전장한손검
13411,Brave Gladiator Blade,전장한손검
13416,Glorious Flamberge,크리거한손검
13417,Glorious Rapier,크리거한손검
13418,Glorious Holy Avenger,크리거한손검
1312,Orcish Axe,오키쉬액스
1313,Tourist Axe,여행자의도끼
1301,Axe,액스
1302,Axe,액스
1303,Axe,액스
1304,Orcish Axe,오키쉬액스
1309,Orcish Axe,오키쉬액스
1307,Windhawk,윈드호크
1305,Cleaver,클리버
1308,Golden Axe,금도끼
1311,Vecer Axe,베체르액스
1306,War Axe,워액스
1310,Glorious Cleaver,크리거한손도끼
1627,Staffy,스탬프
1628,Refined Survivor's Rod,생존의지팡이
1642,Staff Of Darkness,밝지못한자의지팡이
1601,Rod,롯드
1602,Rod,롯드
1603,Rod,롯드
1623,Mighty Staff,마이트스태프
1638,Staff Of Healing,치유의지팡이
1639,Novice Rod,초보롯드
1604,Wand,완드
1605,Wand,완드
1606,Wand,완드
1607,Staff,스태프
1608,Staff,스태프
1609,Staff,스태프
1610,Arc Wand,아크완드
1611,Arc Wand,아크완드
1612,Arc Wand,아크완드
1613,Mighty Staff,마이트스태프
1614,Wand of Occult,신관의지팡이
1615,Evil Bone Wand,해골지팡이
1617,Survivor's Rod,생존의지팡이
1618,Survivor's Rod,생존의지팡이
1619,Survivor's Rod,생존의지팡이
1620,Survivor's Rod,생존의지팡이
1621,Hypnotist's Staff,최면술사지팡이
1622,Hypnotist's Staff,최면술사지팡이
1616,Wing Staff,스태프오브윙
1629,Gentleman's Staff,신사의지팡이
1630,Release of Wish,릴리즈오브위스
1646,La'cryma Stick,라크리마스틱
1647,Croce Staff,크로체스태프
1648,Staff Of Bordeaux,스태프오브오르도
1625,Healing Staff,치유의지팡이
1624,Lich's Bone Wand,리치해골지팡이
1626,Piercing Staff,스태프오브피어싱
1631,Holy Stick,홀리스틱
1637,Eraser,이레이저
1643,Dead Tree Cane,고목나무지팡이
1644,Staff of Piercing,스태프오브피어싱
1645,Lich's Bone Wand,리치해골지팡이
1636,Thorn Staff of Darkness,가시나무지팡이
1632,Warlock's Magic Wand,전장지팡이
1633,Warlock's Battle Wand,전장지팡이
1634,Strong Recovery Wand,전장지팡이
1635,Speedy Recovery Wand,전장지팡이
1640,Glorious Arc Wand,크리거한손지팡이
1641,Glorious Cure Wand,크리거한손지팡이
1423,Pole XO,폴
1424,Refined Brocca,꼬챙이
1427,Spear Of Excellent,훌륭한장창
1419,Pole Axe,폴액스
1430,Pike,파이크
1431,Pole Axe,폴액스
1432,Pole Axe,폴액스
1401,Javelin,쟈벨린
1402,Javelin,쟈벨린
1403,Javelin,쟈벨린
1404,Spear,스피어
1405,Spear,스피어
1406,Spear,스피어
1407,Pike,파이크
1408,Pike,파이크
1409,Pike,파이크
1413,Gungnir,궁그닐
1418,Gungnir,궁그닐
1414,Gelerdria,겔러드리아
1415,Brocca,꼬챙이
1416,Tjungkuletti,튱클레티
1422,Hunting Spear,헌팅스피어
1429,Hunting Spear,헌팅스피어
1420,Long Horn,롱혼
1421,Battle Hook,배틀훅
1428,Long Horn,롱혼
1417,Pole Axe,폴액스
1425,Assaulter Spear,전장한손창
1426,Glorious Spear,크리거한손창
18101,Rudra Bow,루드라의활
18102,Rudra Bow,루드라의활
1728,Ballista,발리스타
1729,Rudra Bow,루드라의활
1735,Kkakkung,깍궁
1744,Bow Of Evil,악마의활
18100,Shooting Star,슈팅스타
1701,Bow,보우
1702,Bow,보우
1703,Bow,보우
1704,Composite Bow,컴포지트보우
1705,Composite Bow,컴포지트보우
1706,Composite Bow,컴포지트보우
1742,Novice Composite Bow,초보컴포지트보우
1707,Great Bow,그레이트보우
1708,Great Bow,그레이트보우
1709,Great Bow,그레이트보우
1710,Crossbow,크로스보우
1711,Crossbow,크로스보우
1712,Crossbow,크로스보우
1723,Luna Bow,루나보우
1713,Arbalest,알바레스트
1714,Gakkung Bow,각궁
1715,Arbalest,알바레스트
1716,Gakkung Bow,각궁
1718,Hunter Bow,헌터보우
1726,Hunter Bow,헌터보우
1719,Roguemaster's Bow,도둑의활
1720,Rudra Bow,루드라의활
1745,Falken Blitz,팔켄블리츠
1730,Burning Bow,불타는활
1731,Frozen Bow,냉각의활
1732,Earth Bow,대지의활
1733,Gust Bow,질풍의활
1724,Dragon Wing,드래곤윙
1740,Nepenthes Bow,네펜데스보우
1721,Repeating Crossbow,리피팅크로스
1734,Orc Archer Bow,오크아쳐의활
1725,Minstrel Bow,음유시인의활
1736,Double Bound,더블바운드
1737,Ixion Wings,익시온의날개
1722,Ballista,발리스타
1727,Ballista,발리스타
1738,Valorous Battle CrossBow,전장활
1739,Brave Battle CrossBow,전장활
1741,Cursed Lyre,커즈드라이어
1743,Glorious Hunter Bow,크리거활
