게임ID,게임한글명,게임Lv,상태,CSV_ID,CSV영문명,CSV_Lv,드롭수,비고
337,모로크의 현신(물질형),95,확정,1920,Incarnation of Morocc,96,7,
335,모로크의 현신(인간형),95,확정,1920,Incarnation of Morocc,96,7,
334,모로크의 현신(천사형),95,확정,1920,Incarnation of Morocc,96,7,
282,타락한 대신관 히밤,95,확정,1871,Fallen Bishop Hibram,80,7,
249,디타르테우르스,97,확정,1719,Detardeurus,90,8,
239,로드나이트 세이렌,99,확정,1646,Lord Knight Seyren,99,8,
295,발키리 란드그리스,99,확정,1751,Valkyrie Randgris,99,7,
243,스나이퍼 세실,99,확정,1650,Sniper Cecil,99,8,
323,타나토스의 사념체,99,확정,1708,Memory of Thanatos,99,8,
244,하이위자드 카트린느,99,확정,1651,High Wizard Kathryne,99,8,
242,하이프리스트 마가레타,99,확정,1649,High Priest Margaretha,99,8,
127,오크 좀비,30,검토,1197,Zombie Prisoner,53,8,lvΔ=23
92,앙겔링,40,검토,1096,Angeling,20,8,lvΔ=-20
397,하티 베베,45,검토,1515,Baby Hatii,61,6,lvΔ=16
61,제롬,48,검토,1178,Zerom,23,8,lvΔ=-25
201,크리스마스 쿠키,48,검토,1246,Christmas Cookie,28,8,lvΔ=-20
393,거대 위스퍼,55,검토,1186,Giant Whisper,34,5,lvΔ=-21
183,미아비,58,검토,1404,Miyabi Doll,33,8,lvΔ=-25
205,와일드 로즈,58,검토,1261,Wild Rose,38,8,lvΔ=-20
255,잎사귀 캣,60,검토,1586,Leaf Cat,38,8,lvΔ=-22
99,쁘띠(비행),62,검토,1156,Petite,45,8,lvΔ=-17
98,쁘띠(지상),64,검토,1156,Petite,45,8,lvΔ=-19
391,네레이드,65,검토,1255,Nereid,40,8,lvΔ=-25
100,바포메트 주니어,66,검토,1101,Baphomet Jr.,50,8,lvΔ=-16
191,우탄 파이터,66,검토,1861,Choco,43,8,lvΔ=-23
223,블레이저,68,검토,1367,Blazer,43,4,lvΔ=-25
251,식양,68,검토,1417,Zipper Bear,35,6,lvΔ=-33
262,무스시펠라,74,검토,1780,Muscipular,57,7,lvΔ=-17
286,바바야가,76,검토,1882,Baba Yaga,49,7,lvΔ=-27
186,원령무사,84,검토,1542,Incantation Samurai,71,0,no-drops
375,쌍둥이-S58,88,검토,1656,Kavach Icarus,60,8,lvΔ=-28
338,마왕 모로크,99,검토,1916,Satan Morocc,99,0,no-drops
166,룻더,50,보류,,,,,"ALIAS ""Ludder"" not in CSV"
392,스콜피온 킹,50,보류,,,,,"ALIAS ""Scorpion King"" not in CSV"
374,폐수 난로,62,보류,,,,,"ALIAS ""Sedora"" not in CSV"
254,흑사,69,보류,,,,,별칭없음
312,앙그라 만티스,74,보류,,,,,"ALIAS ""Angra Mantis"" not in CSV"
228,가디언,75,보류,,,,,"ALIAS ""Guardian"" not in CSV"
288,키키모라,78,보류,,,,,"ALIAS ""Kiki mora"" not in CSV"
318,은총받은 자,80,보류,,,,,별칭없음
325,이미르의 잔해,95,보류,,,,,별칭없음
